Date,Production,Plantation,Lag3_Plantation,Lag3_Milho_Price,Exchange_Rate
8/1/2018,0.0,0.0,0.0,179.09,3.9333217391304345
9/1/2018,0.0,7.215154219506356,0.0,165.07,4.108747368421053
10/1/2018,0.0,559.416227280536,0.0,156.46,3.761113636363637
11/1/2018,0.0,847.9898498718542,0.0,162.37,3.78595
12/1/2018,0.0,94.88600816225521,7.215154219506356,154.8,3.883355555555556
1/1/2019,241.50426994866902,36.8020217951101,559.416227280536,160.26,3.735565
2/1/2019,1721.911698820282,0.0348416672329452,847.9898498718542,160.69,3.724433333333333
3/1/2019,2274.752193465229,0.0844740763430063,94.88600816225521,167.44,3.73586320775015
4/1/2019,272.3654175604979,0.0933313244458538,36.8020217951101,166.74,3.6957914372487797
5/1/2019,0.0,0.103767532466355,0.0348416672329452,169.52,3.72510284512667
