Zonas,Estado,Region,2015,2016,2017,2018,2019,Total-2015,Total-2016,Total-2017,Total-2018,Total-2019
MT_Sudeste,MT,Sudeste,4380.859879160578,3651.561456374685,5356.910189327962,4827.005137384592,5323.063110471485,20763.400399999995,17544.799759999998,29749.879520000006,26811.0,27739.0
MT_Nordeste,MT,Nordeste,461.70107963442297,825.3426116558276,1375.8360059437787,1364.2907389623315,1955.9758367675804,20763.400399999995,17544.799759999998,29749.879520000006,26811.0,27739.0
MT_Nordeste_Sul,MT,Nordeste,965.5605572510619,259.6675818330628,1118.2929960646143,1180.7453785419548,1162.6604015697849,20763.400399999995,17544.799759999998,29749.879520000006,26811.0,27739.0
MT_Norte,MT,Norte,2118.6972632596144,1895.535247143615,3278.8991472482494,2979.2279112324213,3163.556695718902,20763.400399999995,17544.799759999998,29749.879520000006,26811.0,27739.0
GO_Sudoeste,GO,Sudoeste,6421.168931788112,3973.035059220178,6729.629427653412,5845.637415403218,7323.365741045729,8993.8924,6430.533900000001,9644.2,8238.0,10118.0
GO_Leste,GO,Leste,2249.379288190308,2134.4058043541363,2516.4347083487046,2047.3713713297118,2434.2501873795145,8993.8924,6430.533900000001,9644.2,8238.0,10118.0
GO_Noroeste,GO,Noroeste,323.3441800215801,323.09303642568614,398.135863997884,344.9912132670695,360.3840715747551,8993.8924,6430.533900000001,9644.2,8238.0,10118.0
DF,DF,DF,541.9368,272.79200000000003,491.88,671.4910798707807,697.5909734035349,541.9368,272.79200000000003,491.88,671.4910798707807,697.5909734035349
BA_Oeste Norte,BA,Oeste Norte,1859.8767713363545,678.8475587565675,861.138755733026,924.3910649150754,794.1878890471615,2773.4250000000006,1447.9481,1983.737,2175.0,2015.0
BA_Oeste Sul,BA,Oeste Sul,347.4021214193683,428.5861165636754,530.0899856608793,529.6006002786454,451.4029255856685,2773.4250000000006,1447.9481,1983.737,2175.0,2015.0
BA_Outros,BA,Outros,566.1461072442777,340.5144246797571,592.5082586060947,721.0083348062792,769.40918536717,2773.4250000000006,1447.9481,1983.737,2175.0,2015.0
SE,SE,SE,668.5028000000001,140.715,812.012,845,1019,668.5028000000001,140.715,812.012,845.0,1019.0
PB,PB,PB,20.2538,20.0502,38.579,48.733627851211,50.627833949415965,20.2538,20.0502,38.579,48.733627851211,50.627833949415965
AL,AL,AL,30.3107,19.0742,25.0728,43.08490531977973,44.75955368879669,30.3107,19.0742,25.0728,43.08490531977973,44.75955368879669
PE,PE,PE,58.183699999999995,22.152,54.553999999999995,41.79061599591888,43.414957198443254,58.183699999999995,22.152,54.553999999999995,41.79061599591888,43.414957198443254
RN,RN,RN,7.4592,7.725,10.1616,15.166526342943827,15.756027431906498,7.4592,7.725,10.1616,15.166526342943827,15.756027431906498
CE,CE,CE,151.389,163.83120000000002,418.91,357.60489693843135,371.50448550583377,151.389,163.83120000000002,418.91,357.60489693843135,371.50448550583377
PI_Sul,PI,Sul,954.5839489696293,681.0706169848984,1309.6233133784115,1271.5343775065467,1275.570488755551,1064.2658,739.5439999999999,1386.333,1509.0,1486.0
PI_Outros,PI,Outros,109.68185103037058,58.47338301510155,76.70968662158852,237.46562249345354,210.42951124444912,1064.2658,739.5439999999999,1386.333,1509.0,1486.0
MA_Sul,MA,Sul,1081.5618890312735,594.080473953834,1441.6937640719054,1419.599194811202,1708.3261453839425,1469.2014,874.4364,1951.9428,1937.0,2165.0
MA_Outros,MA,Outros,387.63951096872654,280.355926046166,510.2490359280946,517.4008051887979,456.67385461605755,1469.2014,874.4364,1951.9428,1937.0,2165.0
TO_Centro,TO,Centro,415.92731359923016,196.5698982476507,344.5409753290833,311.07225866909556,395.8915156226202,1050.2422000000001,540.2148,902.3900000000001,841.0,1033.969586721782
TO_Leste,TO,Leste,488.1482939218587,230.66927271372566,415.55465406868746,389.4463920783712,475.90787765629653,1050.2422000000001,540.2148,902.3900000000001,841.0,1033.969586721782
TO_Norte,TO,Norte,74.66468111530739,68.156235142535,97.996730654331,92.75801416062738,112.12749842356254,1050.2422000000001,540.2148,902.3900000000001,841.0,1033.969586721782
TO_Sul,TO,Sul,71.5019113636039,44.81939389608859,44.2976399478982,47.72333509190595,50.04269501930265,1050.2422000000001,540.2148,902.3900000000001,841.0,1033.969586721782
PA_Nordeste,PA,Nordeste,266.5944788803935,189.6460593662573,266.08723014840433,263.4437751590292,375.07229053195454,706.8384000000001,646.8544,844.7084,837.0,1211.0
PA_Noroeste,PA,Noroeste,67.11851598393827,82.74591682202336,64.97402869804786,60.75122261302087,73.31500075665443,706.8384000000001,646.8544,844.7084,837.0,1211.0
PA_Sudeste,PA,Sudeste,39.124696010498276,24.908017104573094,34.89995160123449,32.631726420466705,39.380195892464116,706.8384000000001,646.8544,844.7084,837.0,1211.0
PA_Outros,PA,Outros,334.00070912517,349.5544067071463,478.7471895523134,480.1732758074833,723.2325128189268,706.8384000000001,646.8544,844.7084,837.0,1211.0
AP,AP,AP,1.6325999999999998,1.6236,1.6354000000000002,1.8107967472112236,1.8811798151750831,1.6325999999999998,1.6236,1.6354000000000002,1.8107967472112236,1.8811798151750831
RO,RO,RO,651.2575,653.8137,794.9787,937.9377937838433,974,651.2575,653.8137,794.9787,937.9377937838433,974.0
AC,AC,AC,96.31160000000001,96.7032,82.015,92.66055518721977,96.26213784046622,96.31160000000001,96.7032,82.015,92.66055518721977,96.26213784046622
AM,AM,AM,39.37,13.581,30.8172,33.79492732582614,35.108487597276,39.37,13.581,30.8172,33.79492732582614,35.108487597276
RR,RR,RR,15.3946,13.9656,45.6,8.92221472562196,9.269008393320295,15.3946,13.9656,45.6,8.92221472562196,9.269008393320295
