Zonas,Estado,Region,2015,2016,2017,2018,2019,Total-2015,Total-2016,Total-2017,Total-2018,Total-2019,Ratio-2012,Ratio-2013,Ratio-2014,Ratio-2015,Ratio-2016,Ratio-2017,Ratio-2018,Ratio-2019
MT_Sudeste,MT,Sudeste,4380.859879160578,3651.561456374685,5356.910189327962,4827.005137384592,5323.063110471485,20763.400399999995,17544.799759999998,29749.879520000006,26811.0,27739.0,0.2109895197686685,0.2109895197686685,0.2109895197686685,0.2109895197686685,0.2081278502077749,0.18006493726223874,0.18003823570118951,0.19189816181086142
MT_Nordeste,MT,Nordeste,461.70107963442297,825.3426116558276,1375.8360059437787,1364.2907389623315,1955.9758367675804,20763.400399999995,17544.799759999998,29749.879520000006,26811.0,27739.0,0.02223629418784522,0.02223629418784522,0.02223629418784522,0.02223629418784522,0.04704200805628503,0.04624677572286782,0.050885485023398284,0.0705135670632532
MT_Nordeste_Sul,MT,Nordeste,965.5605572510619,259.6675818330628,1118.2929960646143,1180.7453785419548,1162.6604015697849,20763.400399999995,17544.799759999998,29749.879520000006,26811.0,27739.0,0.046503007149593004,0.046503007149593004,0.046503007149593004,0.046503007149593004,0.014800259073065808,0.037589832769333316,0.04403958742836726,0.04191428680088629
MT_Norte,MT,Norte,2118.6972632596144,1895.535247143615,3278.8991472482494,2979.2279112324213,3163.556695718902,20763.400399999995,17544.799759999998,29749.879520000006,26811.0,27739.0,0.10203999453093507,0.10203999453093507,0.10203999453093507,0.10203999453093507,0.10803971963619692,0.11021554373166244,0.11111961177249716,0.11404725100828805
GO_Sudoeste,GO,Sudoeste,6421.168931788112,3973.035059220178,6729.629427653412,5845.637415403218,7323.365741045729,8993.8924,6430.533900000001,9644.2,8238.0,10118.0,0.7139477154283179,0.7139477154283179,0.7139477154283179,0.7139477154283179,0.6178390660875261,0.6977903224376736,0.7095942480460328,0.7237957838550829
GO_Leste,GO,Leste,2249.379288190308,2134.4058043541363,2516.4347083487046,2047.3713713297118,2434.2501873795145,8993.8924,6430.533900000001,9644.2,8238.0,10118.0,0.2501007559519289,0.2501007559519289,0.2501007559519289,0.2501007559519289,0.33191735515990917,0.2609272628469655,0.24852772169576495,0.24058610272578715
GO_Noroeste,GO,Noroeste,323.3441800215801,323.09303642568614,398.135863997884,344.9912132670695,360.3840715747551,8993.8924,6430.533900000001,9644.2,8238.0,10118.0,0.03595152861975312,0.03595152861975312,0.03595152861975312,0.03595152861975312,0.050243578752564556,0.041282414715360934,0.04187803025820217,0.03561811341912978
DF,DF,DF,541.9368,272.79200000000003,491.88,671.4910798707807,697.5909734035349,541.9368,272.79200000000003,491.88,671.4910798707807,697.5909734035349,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BA_Oeste Norte,BA,Oeste Norte,1859.8767713363545,678.8475587565675,861.138755733026,924.3910649150754,794.1878890471615,2773.4250000000006,1447.9481,1983.737,2175.0,2015.0,0.6706064780321639,0.6706064780321639,0.6706064780321639,0.6706064780321639,0.4688341790403727,0.43409925596640375,0.4250073861678508,0.3941379101971025
BA_Oeste Sul,BA,Oeste Sul,347.4021214193683,428.5861165636754,530.0899856608793,529.6006002786454,451.4029255856685,2773.4250000000006,1447.9481,1983.737,2175.0,2015.0,0.1252610477728326,0.1252610477728326,0.1252610477728326,0.1252610477728326,0.29599549636045336,0.26721787498084637,0.243494528863745,0.2240213030201829
BA_Outros,BA,Outros,566.1461072442777,340.5144246797571,592.5082586060947,721.0083348062792,769.40918536717,2773.4250000000006,1447.9481,1983.737,2175.0,2015.0,0.2041324741950035,0.2041324741950035,0.2041324741950035,0.2041324741950035,0.2351703245991739,0.29868286905274977,0.3314980849684042,0.38184078678271466
SE,SE,SE,668.5028000000001,140.715,812.012,845.0,1019.0,668.5028000000001,140.715,812.012,845.0,1019.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PB,PB,PB,20.2538,20.0502,38.579,48.733627851211,50.627833949415965,20.2538,20.0502,38.579,48.733627851211,50.627833949415965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AL,AL,AL,30.3107,19.0742,25.0728,43.08490531977973,44.75955368879669,30.3107,19.0742,25.0728,43.08490531977973,44.75955368879669,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
