Ano,Mes,UF,Produto,Plantation,Lag1_Plantation,Lag2_Plantation,Lag3_Plantation,Lag4_Plantation
2013,6,GO,Soja,0.0,0.0,0.0,0.0,0.0
2013,7,GO,Soja,0.0,0.0,0.0,0.0,0.0
2013,8,GO,Soja,0.0,0.0,0.0,0.0,0.0
2013,9,GO,Soja,143.437657966608,0.0,0.0,0.0,0.0
2013,10,GO,Soja,1012.285639592779,143.437657966608,0.0,0.0,0.0
2013,11,GO,Soja,1403.7679198153928,1012.285639592779,143.437657966608,0.0,0.0
2013,12,GO,Soja,328.5087826252202,1403.7679198153928,1012.285639592779,143.437657966608,0.0
2014,1,GO,Soja,0.0,328.5087826252202,1403.7679198153928,1012.285639592779,143.437657966608
2014,2,GO,Soja,0.0,0.0,328.5087826252202,1403.7679198153928,1012.285639592779
2014,3,GO,Soja,0.0,0.0,0.0,328.5087826252202,1403.7679198153928
2014,4,GO,Soja,0.0,0.0,0.0,0.0,328.5087826252202
2014,5,GO,Soja,0.0,0.0,0.0,0.0,0.0
2014,6,GO,Soja,0.0,0.0,0.0,0.0,0.0
2014,7,GO,Soja,0.0,0.0,0.0,0.0,0.0
2014,8,GO,Soja,0.0,0.0,0.0,0.0,0.0
2014,9,GO,Soja,0.0,0.0,0.0,0.0,0.0
2014,10,GO,Soja,1411.9206832533077,0.0,0.0,0.0,0.0
2014,11,GO,Soja,1534.124678469031,1411.9206832533077,0.0,0.0,0.0
2014,12,GO,Soja,155.65463827766098,1534.124678469031,1411.9206832533077,0.0,0.0
2015,1,GO,Soja,0.0,155.65463827766098,1534.124678469031,1411.9206832533077,0.0
2015,2,GO,Soja,0.0,0.0,155.65463827766098,1534.124678469031,1411.9206832533077
2015,3,GO,Soja,0.0,0.0,0.0,155.65463827766098,1534.124678469031
2015,4,GO,Soja,0.0,0.0,0.0,0.0,155.65463827766098
2015,5,GO,Soja,0.0,0.0,0.0,0.0,0.0
2015,6,GO,Soja,0.0,0.0,0.0,0.0,0.0
2015,7,GO,Soja,0.0,0.0,0.0,0.0,0.0
2015,8,GO,Soja,0.0,0.0,0.0,0.0,0.0
2015,9,GO,Soja,0.0,0.0,0.0,0.0,0.0
2015,10,GO,Soja,644.4970492712619,0.0,0.0,0.0,0.0
2015,11,GO,Soja,2108.7431905944295,644.4970492712619,0.0,0.0,0.0
2015,12,GO,Soja,571.7597601343086,2108.7431905944295,644.4970492712619,0.0,0.0
2016,1,GO,Soja,0.0,571.7597601343086,2108.7431905944295,644.4970492712619,0.0
2016,2,GO,Soja,0.0,0.0,571.7597601343086,2108.7431905944295,644.4970492712619
2016,3,GO,Soja,0.0,0.0,0.0,571.7597601343086,2108.7431905944295
2016,4,GO,Soja,0.0,0.0,0.0,0.0,571.7597601343086
2016,5,GO,Soja,0.0,0.0,0.0,0.0,0.0
2016,6,GO,Soja,0.0,0.0,0.0,0.0,0.0
2016,7,GO,Soja,0.0,0.0,0.0,0.0,0.0
2016,8,GO,Soja,0.0,0.0,0.0,0.0,0.0
2016,9,GO,Soja,0.0,0.0,0.0,0.0,0.0
2016,10,GO,Soja,648.2001621749464,0.0,0.0,0.0,0.0
2016,11,GO,Soja,2103.16757492222,648.2001621749464,0.0,0.0,0.0
2016,12,GO,Soja,509.83538567482265,2103.16757492222,648.2001621749464,0.0,0.0
2017,1,GO,Soja,17.296877228011,509.83538567482265,2103.16757492222,648.2001621749464,0.0
2017,2,GO,Soja,0.0,17.296877228011,509.83538567482265,2103.16757492222,648.2001621749464
2017,3,GO,Soja,0.0,0.0,17.296877228011,509.83538567482265,2103.16757492222
2017,4,GO,Soja,0.0,0.0,0.0,17.296877228011,509.83538567482265
2017,5,GO,Soja,0.0,0.0,0.0,0.0,17.296877228011
2017,6,GO,Soja,0.0,0.0,0.0,0.0,0.0
2017,7,GO,Soja,0.0,0.0,0.0,0.0,0.0
2017,8,GO,Soja,0.0,0.0,0.0,0.0,0.0
2017,9,GO,Soja,5.597575053582629,0.0,0.0,0.0,0.0
2017,10,GO,Soja,1588.2556665812572,5.597575053582629,0.0,0.0,0.0
2017,11,GO,Soja,1469.4773915847595,1588.2556665812572,5.597575053582629,0.0,0.0
2017,12,GO,Soja,215.16936678040065,1469.4773915847595,1588.2556665812572,5.597575053582629,0.0
2018,1,GO,Soja,108.19999999999982,215.16936678040065,1469.4773915847595,1588.2556665812572,5.597575053582629
2018,2,GO,Soja,0.0,108.19999999999982,215.16936678040065,1469.4773915847595,1588.2556665812572
2018,3,GO,Soja,0.0,0.0,108.19999999999982,215.16936678040065,1469.4773915847595
2018,4,GO,Soja,0.0,0.0,0.0,108.19999999999982,215.16936678040065
2018,5,GO,Soja,0.0,0.0,0.0,0.0,108.19999999999982
2018,6,GO,Soja,0.0,0.0,0.0,0.0,0.0
2018,7,GO,Soja,0.0,0.0,0.0,0.0,0.0
2018,8,GO,Soja,0.0,0.0,0.0,0.0,0.0
2018,9,GO,Soja,26.792784455021536,0.0,0.0,0.0,0.0
2018,10,GO,Soja,914.8074003130068,26.792784455021536,0.0,0.0,0.0
2018,11,GO,Soja,2011.6689955477698,914.8074003130068,26.792784455021536,0.0,0.0
2018,12,GO,Soja,433.43081968420165,2011.6689955477698,914.8074003130068,26.792784455021536,0.0
2019,1,GO,Soja,100.0,433.43081968420165,2011.6689955477698,914.8074003130068,26.792784455021536
2019,2,GO,Soja,0.0,100.0,433.43081968420165,2011.6689955477698,914.8074003130068
2019,3,GO,Soja,0.0,0.0,100.0,433.43081968420165,2011.6689955477698
2019,4,GO,Soja,0.0,0.0,0.0,100.0,433.43081968420165
2019,5,GO,Soja,0.0,0.0,0.0,0.0,100.0
2019,6,GO,Soja,0.0,0.0,0.0,0.0,0.0
2019,7,GO,Soja,0.0,0.0,0.0,0.0,0.0
2019,8,GO,Soja,0.0,0.0,0.0,0.0,0.0
2019,9,GO,Soja,63.05375833556454,0.0,0.0,0.0,0.0
2019,10,GO,Soja,1970.005824131094,63.05375833556454,0.0,0.0,0.0
2019,11,GO,Soja,1299.9270212499368,1970.005824131094,63.05375833556454,0.0,0.0
2019,12,GO,Soja,153.71339628340456,1299.9270212499368,1970.005824131094,63.05375833556454,0.0
2012,1,MA,Soja,0.0,0.0,0.0,0.0,0.0
2012,2,MA,Soja,0.0,0.0,0.0,0.0,0.0
2012,3,MA,Soja,0.0,0.0,0.0,0.0,0.0
2012,4,MA,Soja,0.0,0.0,0.0,0.0,0.0
2012,5,MA,Soja,0.0,0.0,0.0,0.0,0.0
2012,6,MA,Soja,0.0,0.0,0.0,0.0,0.0
2012,7,MA,Soja,0.0,0.0,0.0,0.0,0.0
2012,8,MA,Soja,0.0,0.0,0.0,0.0,0.0
2012,9,MA,Soja,0.0,0.0,0.0,0.0,0.0
2012,10,MA,Soja,27.985000000000003,0.0,0.0,0.0,0.0
2012,11,MA,Soja,363.805,27.985000000000003,0.0,0.0,0.0
2012,12,MA,Soja,167.91000000000003,363.805,27.985000000000003,0.0,0.0
2013,1,MA,Soja,26.299999999999955,167.91000000000003,363.805,27.985000000000003,0.0
2013,2,MA,Soja,0.0,26.299999999999955,167.91000000000003,363.805,27.985000000000003
2013,3,MA,Soja,0.0,0.0,26.299999999999955,167.91000000000003,363.805
2013,4,MA,Soja,0.0,0.0,0.0,26.299999999999955,167.91000000000003
2013,5,MA,Soja,0.0,0.0,0.0,0.0,26.299999999999955
2013,6,MA,Soja,0.0,0.0,0.0,0.0,0.0
2013,7,MA,Soja,0.0,0.0,0.0,0.0,0.0
2013,8,MA,Soja,0.0,0.0,0.0,0.0,0.0
2013,9,MA,Soja,0.0,0.0,0.0,0.0,0.0
2013,10,MA,Soja,7.813333333333333,0.0,0.0,0.0,0.0
2013,11,MA,Soja,285.18666666666667,7.813333333333333,0.0,0.0,0.0
2013,12,MA,Soja,234.39999999999998,285.18666666666667,7.813333333333333,0.0,0.0
2014,1,MA,Soja,0.0,234.39999999999998,285.18666666666667,7.813333333333333,0.0
2014,2,MA,Soja,0.0,0.0,234.39999999999998,285.18666666666667,7.813333333333333
2014,3,MA,Soja,0.0,0.0,0.0,234.39999999999998,285.18666666666667
2014,4,MA,Soja,0.0,0.0,0.0,0.0,234.39999999999998
2014,5,MA,Soja,0.0,0.0,0.0,0.0,0.0
2014,6,MA,Soja,0.0,0.0,0.0,0.0,0.0
2014,7,MA,Soja,0.0,0.0,0.0,0.0,0.0
2014,8,MA,Soja,0.0,0.0,0.0,0.0,0.0
2014,9,MA,Soja,0.0,0.0,0.0,0.0,0.0
2014,10,MA,Soja,33.11000000000001,0.0,0.0,0.0,0.0
2014,11,MA,Soja,336.9429411764706,33.11000000000001,0.0,0.0,0.0
2014,12,MA,Soja,292.14705882352945,336.9429411764706,33.11000000000001,0.0,0.0
2015,1,MA,Soja,0.0,292.14705882352945,336.9429411764706,33.11000000000001,0.0
2015,2,MA,Soja,0.0,0.0,292.14705882352945,336.9429411764706,33.11000000000001
2015,3,MA,Soja,0.0,0.0,0.0,292.14705882352945,336.9429411764706
2015,4,MA,Soja,0.0,0.0,0.0,0.0,292.14705882352945
2015,5,MA,Soja,0.0,0.0,0.0,0.0,0.0
2015,6,MA,Soja,0.0,0.0,0.0,0.0,0.0
2015,7,MA,Soja,0.0,0.0,0.0,0.0,0.0
2015,8,MA,Soja,0.0,0.0,0.0,0.0,0.0
2015,9,MA,Soja,0.0,0.0,0.0,0.0,0.0
2015,10,MA,Soja,37.480000000000004,0.0,0.0,0.0,0.0
2015,11,MA,Soja,475.40421052631575,37.480000000000004,0.0,0.0,0.0
2015,12,MA,Soja,236.71578947368425,475.40421052631575,37.480000000000004,0.0,0.0
2016,1,MA,Soja,33.48331818181805,236.71578947368425,475.40421052631575,37.480000000000004,0.0
2016,2,MA,Soja,0.0,33.48331818181805,236.71578947368425,475.40421052631575,37.480000000000004
2016,3,MA,Soja,0.0,0.0,33.48331818181805,236.71578947368425,475.40421052631575
2016,4,MA,Soja,0.0,0.0,0.0,33.48331818181805,236.71578947368425
2016,5,MA,Soja,0.0,0.0,0.0,0.0,33.48331818181805
2016,6,MA,Soja,0.0,0.0,0.0,0.0,0.0
2016,7,MA,Soja,0.0,0.0,0.0,0.0,0.0
2016,8,MA,Soja,0.0,0.0,0.0,0.0,0.0
2016,9,MA,Soja,0.0,0.0,0.0,0.0,0.0
2016,10,MA,Soja,30.927799999999998,0.0,0.0,0.0,0.0
2016,11,MA,Soja,387.05272631578947,30.927799999999998,0.0,0.0,0.0
2016,12,MA,Soja,218.92247368421056,387.05272631578947,30.927799999999998,0.0,0.0
2017,1,MA,Soja,184.79700000000003,218.92247368421056,387.05272631578947,30.927799999999998,0.0
2017,2,MA,Soja,0.0,184.79700000000003,218.92247368421056,387.05272631578947,30.927799999999998
2017,3,MA,Soja,0.0,0.0,184.79700000000003,218.92247368421056,387.05272631578947
2017,4,MA,Soja,0.0,0.0,0.0,184.79700000000003,218.92247368421056
2017,5,MA,Soja,0.0,0.0,0.0,0.0,184.79700000000003
2017,6,MA,Soja,0.0,0.0,0.0,0.0,0.0
2017,7,MA,Soja,0.0,0.0,0.0,0.0,0.0
2017,8,MA,Soja,0.0,0.0,0.0,0.0,0.0
2017,9,MA,Soja,0.0,0.0,0.0,0.0,0.0
2017,10,MA,Soja,110.61346153846154,0.0,0.0,0.0,0.0
2017,11,MA,Soja,417.62225274725273,110.61346153846154,0.0,0.0,0.0
2017,12,MA,Soja,268.0307142857142,417.62225274725273,110.61346153846154,0.0,0.0
2018,1,MA,Soja,155.2335714285715,268.0307142857142,417.62225274725273,110.61346153846154,0.0
2018,2,MA,Soja,0.0,155.2335714285715,268.0307142857142,417.62225274725273,110.61346153846154
2018,3,MA,Soja,0.0,0.0,155.2335714285715,268.0307142857142,417.62225274725273
2018,4,MA,Soja,0.0,0.0,0.0,155.2335714285715,268.0307142857142
2018,5,MA,Soja,0.0,0.0,0.0,0.0,155.2335714285715
2018,6,MA,Soja,0.0,0.0,0.0,0.0,0.0
2018,7,MA,Soja,0.0,0.0,0.0,0.0,0.0
2018,8,MA,Soja,0.0,0.0,0.0,0.0,0.0
2018,9,MA,Soja,0.0,0.0,0.0,0.0,0.0
2018,10,MA,Soja,88.35357142857141,0.0,0.0,0.0,0.0
2018,11,MA,Soja,599.3214285714287,88.35357142857141,0.0,0.0,0.0
2018,12,MA,Soja,183.78705882352938,599.3214285714287,88.35357142857141,0.0,0.0
2019,1,MA,Soja,110.03794117647055,183.78705882352938,599.3214285714287,88.35357142857141,0.0
2019,2,MA,Soja,0.0,110.03794117647055,183.78705882352938,599.3214285714287,88.35357142857141
2019,3,MA,Soja,0.0,0.0,110.03794117647055,183.78705882352938,599.3214285714287
2019,4,MA,Soja,0.0,0.0,0.0,110.03794117647055,183.78705882352938
2019,5,MA,Soja,0.0,0.0,0.0,0.0,110.03794117647055
2019,6,MA,Soja,0.0,0.0,0.0,0.0,0.0
2019,7,MA,Soja,0.0,0.0,0.0,0.0,0.0
2019,8,MA,Soja,0.0,0.0,0.0,0.0,0.0
2019,9,MA,Soja,0.0,0.0,0.0,0.0,0.0
2019,10,MA,Soja,269.9125,0.0,0.0,0.0,0.0
2019,11,MA,Soja,646.3878571428571,269.9125,0.0,0.0,0.0
2019,12,MA,Soja,65.19964285714286,646.3878571428571,269.9125,0.0,0.0
2012,1,MG,Soja,0.0,0.0,0.0,0.0,0.0
2012,2,MG,Soja,0.0,0.0,0.0,0.0,0.0
