States,Year,value
MT_Nordeste_Sul,2016/17,140.31010683588784
MT_Norte,2016/17,241.0243424064747
GO,2016/17,4613.570473017686
GO_Sudoeste,2016/17,2553.3759440065373
GO_Leste,2016/17,805.7941540885524
GO_Noroeste,2016/17,1254.4003749225963
DF,2016/17,326.5764754559334
BA,2016/17,1249.4135401665244
BA_Oeste Norte,2016/17,141.6033271946685
BA_Oeste Sul,2016/17,71.10992931715572
BA_Outros,2016/17,1036.7002836547001
SE,2016/17,128.38648260965533
PB,2016/17,272.93728746717676
AL,2016/17,61.280854317445446
PE,2016/17,1253.7439717477425
RN,2016/17,135.50231933601395
CE,2016/17,993.341833005361
PI,2016/17,350.58050830032363
PI_Sul,2016/17,164.75011874591905
PI_Outros,2016/17,185.83038955440458
MA,2016/17,438.93715968770715
MA_Sul,2016/17,216.88320897012144
MA_Outros,2016/17,222.0539507175857
TO,2016/17,475.33714986242967
TO_Centro,2016/17,137.400600834228
TO_Leste,2016/17,7.648037734361554
TO_Norte,2016/17,259.9018959989102
TO_Sul,2016/17,70.38661529492991
PA,2016/17,585.5919882852604
PA_Nordeste,2016/17,12.795028633536162
PA_Noroeste,2016/17,47.015166471607266
PA_Sudeste,2016/17,95.61134172899433
PA_Outros,2016/17,430.1704514511227
AP,2016/17,45.77480826132599
RO,2016/17,423.14989563572396
AC,2016/17,95.34106095229788
AM,2016/17,118.5668157003427
RR,2016/17,81.76238277744255
RS,2017/18,6223.1013942145
SC,2017/18,7152.2996335177395
PR,2017/18,14347.272007720287
SP,2017/18,7782.1456452083385
RJ,2017/18,69.67927062530973
MG,2017/18,5552.667922720083
MG_Triângulo,2017/18,2226.7809567814793
MG_Noroeste,2017/18,117.76116716790631
MG_Sul,2017/18,1617.1059833566526
MG_Outros,2017/18,1591.0198154140446
ES,2017/18,443.4760759604465
MS,2017/18,2496.0116818215147
MS_Sul,2017/18,1572.4015107016405
MS_Norte,2017/18,923.6101711198742
MT,2017/18,3518.247304268555
MT_Médio Norte,2017/18,1511.84493884706
MT_Oeste,2017/18,920.7925906435621
MT_Sudeste,2017/18,530.3361933773881
MT_Nordeste,2017/18,129.5590534274664
MT_Nordeste_Sul,2017/18,159.91561661716196
MT_Norte,2017/18,265.79891135591674
GO,2017/18,4766.885053274637
GO_Sudoeste,2017/18,2660.007049069949
GO_Leste,2017/18,853.6309506802033
GO_Noroeste,2017/18,1253.2470535244847
DF,2017/18,330.25056219044393
BA,2017/18,1266.2244525907397
BA_Oeste Norte,2017/18,157.2256415614586
BA_Oeste Sul,2017/18,78.8861825479198
BA_Outros,2017/18,1030.1126284813613
SE,2017/18,130.2108123283573
PB,2017/18,276.7919618857878
AL,2017/18,62.373858361840675
PE,2017/18,1269.0466596754022
RN,2017/18,137.92900311710986
CE,2017/18,1007.8286408928227
PI,2017/18,356.80182471434995
PI_Sul,2017/18,171.2446429390049
PI_Outros,2017/18,185.55718177534504
MA,2017/18,447.3895755409241
MA_Sul,2017/18,213.0004715539632
MA_Outros,2017/18,234.38910398696092
TO,2017/18,486.5451105067631
TO_Centro,2017/18,141.2463932733147
TO_Leste,2017/18,9.074079313368893
TO_Norte,2017/18,264.401782933174
TO_Sul,2017/18,71.82285498690551
PA,2017/18,597.5435547596146
PA_Nordeste,2017/18,12.918005161350038
PA_Noroeste,2017/18,51.68795981949399
PA_Sudeste,2017/18,97.31824186806169
PA_Outros,2017/18,435.61934791070894
AP,2017/18,47.600184877622446
RO,2017/18,433.8285905217606
AC,2017/18,97.10274043777723
AM,2017/18,121.3799994868425
RR,2017/18,83.17247051920656
RS,2018/19,6254.481167410762
SC,2018/19,7215.65710471262
PR,2018/19,15025.939296839297
SP,2018/19,7996.636877635918
RJ,2018/19,72.16346394343894
MG,2018/19,5710.926214338513
MG_Triângulo,2018/19,2313.8830021760577
MG_Noroeste,2018/19,201.71660451484684
MG_Sul,2018/19,1588.7655635510828
MG_Outros,2018/19,1606.5610440965254
ES,2018/19,454.7618312242504
MS,2018/19,2624.6496514908463
MS_Sul,2018/19,1679.6983998631554
MS_Norte,2018/19,944.951251627691
MT,2018/19,3726.960915101449
MT_Médio Norte,2018/19,1553.7658602965266
MT_Oeste,2018/19,995.7985535057277
MT_Sudeste,2018/19,545.4314057501717
MT_Nordeste,2018/19,154.90810189934655
MT_Nordeste_Sul,2018/19,182.4715970328963
MT_Norte,2018/19,294.5853966167803
GO,2018/19,4999.843816624375
GO_Sudoeste,2018/19,2812.8458664655755
GO_Leste,2018/19,917.4365349911654
GO_Noroeste,2018/19,1269.561415167634
DF,2018/19,343.9088034663032
BA,2018/19,1324.2707495927843
BA_Oeste Norte,2018/19,178.77903614387037
BA_Oeste Sul,2018/19,89.63456940766454
BA_Outros,2018/19,1055.8571440412493
SE,2018/19,135.91923692352913
PB,2018/19,289.85757277342395
AL,2018/19,64.49900289951195
PE,2018/19,1327.0461713520976
RN,2018/19,144.2919220578887
CE,2018/19,1059.8933560518274
PI,2018/19,377.73444600205744
PI_Sul,2018/19,185.0715185957598
PI_Outros,2018/19,192.66292740629763
MA,2018/19,471.0647449138087
MA_Sul,2018/19,215.78649105766547
MA_Outros,2018/19,255.2782538561432
TO,2018/19,502.78776903266663
TO_Centro,2018/19,146.58797456628298
TO_Leste,2018/19,10.664300373200751
TO_Norte,2018/19,271.5457913296781
TO_Sul,2018/19,73.98970276350481
PA,2018/19,616.8630569486984
PA_Nordeste,2018/19,13.193035137290849
PA_Noroeste,2018/19,57.19240910917503
PA_Sudeste,2018/19,100.21231871017581
PA_Outros,2018/19,446.2652939920567
AP,2018/19,49.32509470567153
RO,2018/19,450.4821175123397
AC,2018/19,98.83940909098277
AM,2018/19,127.18714229569827
RR,2018/19,87.40621457288532
RS,2019/20,6278.889942896504
SC,2019/20,7273.739865591122
PR,2019/20,15855.929434730737
SP,2019/20,8404.236489241706
RJ,2019/20,74.66636943394164
MG,2019/20,5910.981222694938
MG_Triângulo,2019/20,2419.402683873751
MG_Noroeste,2019/20,292.2052759406059
MG_Sul,2019/20,1567.3830179437605
MG_Outros,2019/20,1631.9902449368199
ES,2019/20,464.76824452589653
MS,2019/20,2751.4621440899696
MS_Sul,2019/20,1788.3827972916824
MS_Norte,2019/20,963.079346798287
MT,2019/20,3932.672568158
MT_Médio Norte,2019/20,1589.1237952445388
MT_Oeste,2019/20,1072.268796039915
MT_Sudeste,2019/20,558.2674442981981
MT_Nordeste,2019/20,182.0964629592507
MT_Nordeste_Sul,2019/20,206.3338607711077
MT_Norte,2019/20,324.5822088449895
GO,2019/20,5256.051157698611
GO_Sudoeste,2019/20,2980.9989646269514
GO_Leste,2019/20,987.6691226401668
GO_Noroeste,2019/20,1287.383070431493
DF,2019/20,365.9765034712285
BA,2019/20,1424.7232928437575
BA_Oeste Norte,2019/20,207.7743747435577
BA_Oeste Sul,2019/20,104.1068871235502
BA_Outros,2019/20,1112.8420309766495
SE,2019/20,145.20072977657594
PB,2019/20,311.4362959536851
AL,2019/20,66.68911558846108
PE,2019/20,1428.2036759761895
RN,2019/20,154.2293607963393
CE,2019/20,1156.3314228122606
PI,2019/20,416.747477514735
PI_Sul,2019/20,208.35685859867723
PI_Outros,2019/20,208.39061891605778
MA,2019/20,512.1260144575377
MA_Sul,2019/20,225.3706324168894
MA_Outros,2019/20,286.7553820406483
TO,2019/20,520.157799882758
TO_Centro,2019/20,152.30010878690874
TO_Leste,2019/20,12.36449245651587
TO_Norte,2019/20,279.18617896396984
TO_Sul,2019/20,76.30701967536359
PA,2019/20,636.8184151578769
PA_Nordeste,2019/20,13.472583355540394
PA_Noroeste,2019/20,62.99987278960402
PA_Sudeste,2019/20,103.19362519943039
PA_Outros,2019/20,457.15233381330205
AP,2019/20,50.74862870858623
RO,2019/20,469.0280163666929
AC,2019/20,100.0337781214933
AM,2019/20,136.55449549117472
RR,2019/20,95.06791400078322
RS,2020/21,6316.775594125245
SC,2020/21,7349.371953078064
PR,2020/21,16720.844587625063
SP,2020/21,8753.641238080629
RJ,2020/21,77.23612556144732
MG,2020/21,6107.620885855947
MG_Triângulo,2020/21,2525.166247747604
MG_Noroeste,2020/21,388.1237188073761
MG_Sul,2020/21,1539.924753125632
MG_Outros,2020/21,1654.4061661753349
ES,2020/21,476.11158634898715
MS,2020/21,2884.1881380775285
MS_Sul,2020/21,1903.507485447969
MS_Norte,2020/21,980.6806526295595
MT,2020/21,4148.307891439944
MT_Médio Norte,2020/21,1623.0915250968717
MT_Oeste,2020/21,1153.7490108787035
MT_Sudeste,2020/21,570.661970060396
MT_Nordeste,2020/21,211.7412151891672
MT_Nordeste_Sul,2020/21,232.19431660930175
MT_Norte,2020/21,356.8698536055039
GO,2020/21,5519.4963353196235
GO_Sudoeste,2020/21,3155.631270171356
GO_Leste,2020/21,1061.5575132858473
GO_Noroeste,2020/21,1302.30755186242
DF,2020/21,386.3700133655735
BA,2020/21,1513.7974784346002
BA_Oeste Norte,2020/21,237.1634986809404
BA_Oeste Sul,2020/21,118.76849770454324
BA_Outros,2020/21,1157.8654820491165
SE,2020/21,153.49663902237143
PB,2020/21,331.2235713901448
AL,2020/21,68.94592467062739
PE,2020/21,1518.7562123872024
RN,2020/21,163.3934587128648
CE,2020/21,1240.3054554953144
PI,2020/21,450.87434978700503
PI_Sul,2020/21,229.93130843021495
PI_Outros,2020/21,220.94304135679008
MA,2020/21,548.0984630365263
MA_Sul,2020/21,231.3276774601345
MA_Outros,2020/21,316.77078557639175
TO,2020/21,536.9267580081053
TO_Centro,2020/21,157.87877395646825
TO_Leste,2020/21,14.137803210502097
TO_Norte,2020/21,286.38969688420593
TO_Sul,2020/21,78.52048395692891
PA,2020/21,656.9833023703321
PA_Nordeste,2020/21,13.747287918704842
PA_Noroeste,2020/21,69.07737941103889
PA_Sudeste,2020/21,106.19247090982186
PA_Outros,2020/21,467.9661641307665
AP,2020/21,52.11111246949529
RO,2020/21,486.97999306937834
AC,2020/21,101.02147069612293
AM,2020/21,144.9387643876888
RR,2020/21,101.67444712087698
RS,2021/22,6339.74832782807
SC,2021/22,7410.2486340134565
PR,2021/22,17507.69537642135
SP,2021/22,9010.320232606617
RJ,2021/22,79.91357946254473
MG,2021/22,6284.370965542862
MG_Triângulo,2021/22,2624.2519123267293
MG_Noroeste,2021/22,488.04793040530103
MG_Sul,2021/22,1502.5853348529004
MG_Outros,2021/22,1669.4857879579315
ES,2021/22,487.1231972332194
MS,2021/22,3019.5344045938564
MS_Sul,2021/22,2023.043541749138
MS_Norte,2021/22,996.4908628447184
MT,2021/22,4369.665622745257
MT_Médio Norte,2021/22,1653.6975249080356
MT_Oeste,2021/22,1239.2105542904785
MT_Sudeste,2021/22,581.9247532567904
MT_Nordeste,2021/22,243.7490972007172
MT_Nordeste_Sul,2021/22,259.9074712582165
MT_Norte,2021/22,391.1762218310186
GO,2021/22,5774.151392862471
GO_Sudoeste,2021/22,3327.605184231579
GO_Leste,2021/22,1136.0441887764537
GO_Noroeste,2021/22,1310.5020198544382
DF,2021/22,403.22979617929246
BA,2021/22,1586.4417448464178
BA_Oeste Norte,2021/22,265.73048071365747
BA_Oeste Sul,2021/22,133.01202290441248
BA_Outros,2021/22,1187.6992412283478
SE,2021/22,160.5721932485454
PB,2021/22,347.5707695407527
AL,2021/22,71.27062515870524
PE,2021/22,1592.3669830599663
RN,2021/22,171.27419939627129
CE,2021/22,1308.1183789795066
PI,2021/22,478.6115785815598
PI_Sul,2021/22,248.86638930157386
PI_Outros,2021/22,229.74518927998594
MA,2021/22,577.923378279008
MA_Sul,2021/22,233.50486885653658
MA_Outros,2021/22,344.41850942247146
TO,2021/22,552.8635281634015
TO_Centro,2021/22,163.25347867904492
TO_Leste,2021/22,15.972938611923931
TO_Norte,2021/22,293.0398795995794
TO_Sul,2021/22,80.59723127285322
PA,2021/22,676.0354856103776
PA_Nordeste,2021/22,13.989641660723407
PA_Noroeste,2021/22,75.2815946204383
PA_Sudeste,2021/22,108.99541853749345
PA_Outros,2021/22,477.7688307917224
AP,2021/22,53.61693066295676
RO,2021/22,504.19811548784753
AC,2021/22,102.17106832459002
AM,2021/22,152.11634958508162
RR,2021/22,107.0251356958611
RS,2022/23,6374.666358499699
SC,2022/23,7485.18390100868
PR,2022/23,18327.386482140144
SP,2022/23,9251.268976935151
RJ,2022/23,82.88626384408853
MG,2022/23,6478.812512246617
MG_Triângulo,2022/23,2732.261503271895
MG_Noroeste,2022/23,594.5847503706121
MG_Sul,2022/23,1464.6382131354064
MG_Outros,2022/23,1687.3280454687035
ES,2022/23,500.09892408535876
MS,2022/23,3187.538678896847
MS_Sul,2022/23,2167.494977790404
MS_Norte,2022/23,1020.0437011064431
MT,2022/23,4637.888792782106
MT_Médio Norte,2022/23,1695.7650194796906
MT_Oeste,2022/23,1340.6402202938402
MT_Sudeste,2022/23,597.278910647136
MT_Nordeste,2022/23,280.6915033008633
MT_Nordeste_Sul,2022/23,292.1249856190177
MT_Norte,2022/23,431.38815344155853
GO,2022/23,6077.04959015731
GO_Sudoeste,2022/23,3529.9286914789645
GO_Leste,2022/23,1222.485707853158
GO_Noroeste,2022/23,1324.635190825188
DF,2022/23,419.5188902408087
BA,2022/23,1657.7084024451979
BA_Oeste Norte,2022/23,295.62570198046524
BA_Oeste Sul,2022/23,147.91510189785959
BA_Outros,2022/23,1214.167598566873
SE,2022/23,167.5272422807989
PB,2022/23,363.14492970835954
AL,2022/23,73.66495758961386
PE,2022/23,1661.385973344007
RN,2022/23,178.86387012700982
CE,2022/23,1370.8143144032908
PI,2022/23,504.396150145445
PI_Sul,2022/23,267.32178744646325
PI_Outros,2022/23,237.07436269898176
MA,2022/23,607.5172758175327
MA_Sul,2022/23,234.5183644630563
MA_Outros,2022/23,372.9989113544764
TO,2022/23,575.0986651775956
TO_Centro,2022/23,170.53555592667982
TO_Leste,2022/23,18.08777403981341
TO_Norte,2022/23,302.9006989298553
TO_Sul,2022/23,83.57463628124708
PA,2022/23,701.7128179289541
PA_Nordeste,2022/23,14.358751710291642
PA_Noroeste,2022/23,82.50152686344373
PA_Sudeste,2022/23,112.8482216976923
PA_Outros,2022/23,492.00431765752637
AP,2022/23,56.23821079410747
RO,2022/23,526.4314694025144
AC,2022/23,104.98860196399619
AM,2022/23,159.2498163927006
RR,2022/23,112.26900501007653
RS,2026/27,6412.739950782548
SC,2026/27,7695.248367627771
PR,2026/27,21121.892490080587
SP,2026/27,9488.999377135511
RJ,2026/27,95.78845874279195
MG,2026/27,7095.565659284881
MG_Triângulo,2026/27,3051.0932334924983
MG_Noroeste,2026/27,851.4678791141857
MG_Sul,2026/27,1419.1131318569765
MG_Outros,2026/27,1773.8914148212205
ES,2026/27,551.1269510914581
MS,2026/27,3888.8135923291065
MS_Sul,2026/27,2722.1695146303746
MS_Norte,2026/27,1166.644077698732
MT,2026/27,5773.86635949839
MT_Médio Norte,2026/27,1963.1145622294525
MT_Oeste,2026/27,1732.1599078495171
MT_Sudeste,2026/27,692.8639631398069
MT_Nordeste,2026/27,404.1706451648874
MT_Nordeste_Sul,2026/27,404.1706451648874
MT_Norte,2026/27,577.3866359498392
GO,2026/27,7257.109794928839
GO_Sudoeste,2026/27,4281.694779008015
GO_Leste,2026/27,1523.993056935056
GO_Noroeste,2026/27,1451.4219589857678
DF,2026/27,457.437106332879
BA,2026/27,1807.4977893585883
BA_Oeste Norte,2026/27,361.4995578717178
BA_Oeste Sul,2026/27,180.74977893585884
BA_Outros,2026/27,1265.2484525510117
SE,2026/27,184.85534036590602
PB,2026/27,398.36696319439505
AL,2026/27,83.97705820186502
PE,2026/27,1800.7459507326694
RN,2026/27,198.8053034400774
CE,2026/27,1487.5892065878131
PI,2026/27,553.4873533864611
PI_Sul,2026/27,304.4180443625536
PI_Outros,2026/27,249.0693090239075
MA,2026/27,674.3794865188188
MA_Sul,2026/27,236.03282028158657
MA_Outros,2026/27,438.3466662372322
TO,2026/27,655.0616441433679
TO_Centro,2026/27,195.87904833997226
TO_Leste,2026/27,23.95706603684381
TO_Norte,2026/27,340.6320549545513
TO_Sul,2026/27,94.59347481200052
PA,2026/27,794.7510105538963
PA_Nordeste,2026/27,15.895020211077963
PA_Noroeste,2026/27,103.31763137200653
PA_Sudeste,2026/27,127.16016168862342
PA_Outros,2026/27,548.3781972821885
AP,2026/27,67.40598792961606
RO,2026/27,608.6034703574032
AC,2026/27,115.84676165683825
AM,2026/27,177.44255109931504
RR,2026/27,122.7739501948084
RS,2031/32,6432.614943643972
SC,2031/32,7389.82302638296
PR,2031/32,23278.261190205463
SP,2031/32,9704.201896202412
RJ,2031/32,114.24406831681856
MG,2031/32,7706.190099807871
MG_Triângulo,2031/32,3313.661742917384
MG_Noroeste,2031/32,924.7428119769445
MG_Sul,2031/32,1541.2380199615743
MG_Outros,2031/32,1926.5475249519677
ES,2031/32,596.7047492515161
MS,2031/32,5381.065811435831
MS_Sul,2031/32,3766.7460680050817
MS_Norte,2031/32,1614.3197434307492
MT,2031/32,7996.500955201253
MT_Médio Norte,2031/32,2718.8103247684257
MT_Oeste,2031/32,2398.950286560376
MT_Sudeste,2031/32,959.5801146241504
MT_Nordeste,2031/32,559.7550668640878
MT_Nordeste_Sul,2031/32,559.7550668640878
