States,Year,value
RJ,2018/19,0.0
MG,2018/19,2613.2447053052074
MG_Triângulo,2018/19,2644.808885395979
MG_Noroeste,2018/19,0.0
MG_Sul,2018/19,0.0
MG_Outros,2018/19,0.0
ES,2018/19,0.0
MS,2018/19,2444.03652444384
MS_Sul,2018/19,1827.9085678047284
MS_Norte,2018/19,616.1279566391115
MT,2018/19,11025.266217891312
MT_Médio Norte,2018/19,2732.9942474766385
MT_Oeste,2018/19,385.05079283948095
MT_Sudeste,2018/19,7393.696924089205
MT_Nordeste,2018/19,202.63108821590066
MT_Nordeste_Sul,2018/19,156.15592665863048
MT_Norte,2018/19,154.73723861145527
GO,2018/19,6069.331354428174
GO_Sudoeste,2018/19,3647.602549087823
GO_Leste,2018/19,2434.567182299375
GO_Noroeste,2018/19,0.0
DF,2018/19,0.0
BA,2018/19,1991.6630194506138
BA_Oeste Norte,2018/19,2006.844501613976
BA_Oeste Sul,2018/19,0.0
BA_Outros,2018/19,0.0
SE,2018/19,0.0
PB,2018/19,0.0
AL,2018/19,0.0
PE,2018/19,121.50618101107395
RN,2018/19,0.0
CE,2018/19,0.0
PI,2018/19,619.085743582248
PI_Sul,2018/19,619.6212728136328
PI_Outros,2018/19,0.0
MA,2018/19,333.4765083078176
MA_Sul,2018/19,341.15096121991263
MA_Outros,2018/19,0.0
TO,2018/19,143.18463641341341
TO_Centro,2018/19,164.90718641839422
TO_Leste,2018/19,0.0
TO_Norte,2018/19,0.0
TO_Sul,2018/19,0.0
PA,2018/19,3.185628827751838
PA_Nordeste,2018/19,0.0
PA_Noroeste,2018/19,0.9941826319921239
PA_Sudeste,2018/19,0.0
PA_Outros,2018/19,16.334043796667622
AP,2018/19,0.49217827687908017
RO,2018/19,91.57510714044315
AC,2018/19,0.03108494380288928
AM,2018/19,406.6063390386058
RR,2018/19,2.085281646777156
RS,2019/20,7363.094837595853
SC,2019/20,1055.2925016273396
PR,2019/20,9697.117194133447
SP,2019/20,3362.7810511128037
RJ,2019/20,0.0
MG,2019/20,2691.121292636843
MG_Triângulo,2019/20,2726.590769497754
MG_Noroeste,2019/20,0.0
MG_Sul,2019/20,0.0
MG_Outros,2019/20,0.0
ES,2019/20,0.0
MS,2019/20,2572.662050567788
MS_Sul,2019/20,1927.2173354554404
MS_Norte,2019/20,645.4447151123475
MT,2019/20,11914.300329347145
MT_Médio Norte,2019/20,2832.0528742887955
MT_Oeste,2019/20,540.439121973671
MT_Sudeste,2019/20,7672.981064036213
MT_Nordeste,2019/20,315.11499484030503
MT_Nordeste_Sul,2019/20,277.6207222003461
MT_Norte,2019/20,276.0915520078125
GO,2019/20,6278.978058895304
GO_Sudoeste,2019/20,3775.8978276830153
GO_Leste,2019/20,2517.229703692701
GO_Noroeste,2019/20,0.0
DF,2019/20,0.3149039292990188
BA,2019/20,2018.0437207369168
BA_Oeste Norte,2019/20,2033.4923277196358
BA_Oeste Sul,2019/20,0.0
BA_Outros,2019/20,0.0
