Year,Month,Estado,UF,Tonnes
2012,1,PARANÁ,PR,304291.099
2012,1,RIO GRANDE DO SUL,RS,215009.568
2012,1,SÃO PAULO,SP,606.53
2012,1,ZONA NÃO DECLARADA,ND,0.025
2012,2,BAHIA,BA,42589.866
2012,2,GOIÁS,GO,40996.469999999994
2012,2,MATO GROSSO,MT,412687.611
2012,2,MATO GROSSO DO SUL,MS,29159.617
2012,2,MINAS GERAIS,MG,708.4
2012,2,PARANÁ,PR,170117.003
2012,2,RIO GRANDE DO SUL,RS,239035.181
2012,2,SANTA CATARINA,SC,51741.18
2012,2,SÃO PAULO,SP,9781.431
2012,3,BAHIA,BA,53212.62
2012,3,GOIÁS,GO,85460.273
2012,3,MATO GROSSO,MT,349615.88100000005
2012,3,MATO GROSSO DO SUL,MS,27615.268
2012,3,MINAS GERAIS,MG,21555.59
2012,3,PARANÁ,PR,324805.961
2012,3,RIO GRANDE DO SUL,RS,103233.7
2012,3,SANTA CATARINA,SC,37127.861
2012,3,SÃO PAULO,SP,49500.0
2012,3,ZONA NÃO DECLARADA,ND,0.003
2012,4,BAHIA,BA,95245.58
2012,4,GOIÁS,GO,168079.946
2012,4,MATO GROSSO,MT,421757.681
2012,4,MATO GROSSO DO SUL,MS,17764.002999999997
2012,4,MINAS GERAIS,MG,21835.972999999998
2012,4,PARANÁ,PR,231998.041
2012,4,RIO GRANDE DO SUL,RS,155424.271
2012,4,SANTA CATARINA,SC,6862.853
2012,4,SÃO PAULO,SP,24949.928
2012,5,BAHIA,BA,66495.12
2012,5,GOIÁS,GO,190661.419
2012,5,MATO GROSSO,MT,597484.247
2012,5,MATO GROSSO DO SUL,MS,75856.085
2012,5,MINAS GERAIS,MG,40728.445
2012,5,PARANÁ,PR,350651.703
2012,5,RIO GRANDE DO SUL,RS,215949.62099999998
2012,5,SANTA CATARINA,SC,21886.999
2012,5,SÃO PAULO,SP,45313.776
2012,6,BAHIA,BA,60980.184
2012,6,GOIÁS,GO,118658.228
2012,6,MATO GROSSO,MT,358307.899
2012,6,MATO GROSSO DO SUL,MS,31199.092
2012,6,MINAS GERAIS,MG,9367.795
2012,6,PARANÁ,PR,248498.255
2012,6,RIO GRANDE DO SUL,RS,359562.888
2012,6,SANTA CATARINA,SC,3505.303
2012,6,SÃO PAULO,SP,44558.354
2012,7,BAHIA,BA,147085.787
