Zonas,Estado,Region,2015,2016,2017,2018,2019,Total-2015,Total-2016,Total-2017,Total-2018,Total-2019,Ratio-2012,Ratio-2013,Ratio-2014,Ratio-2015,Ratio-2016,Ratio-2017,Ratio-2018,Ratio-2019
BA_Oeste Norte,BA,Oeste Norte,969.9477397437166,1029.5350201785263,997.1768759879003,1012.1345291277187,1027.3165470646343,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.06673720527067475,0.06673720527067475,0.06673720527067475,0.06673720527067475,0.07063984817194315,0.06670198756991291,0.06387029941836,0.06294014942683047
BA_Oeste Sul,BA,Oeste Sul,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA_Outros,BA,Outros,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,SE,SE,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,PB,PB,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,AL,AL,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,PE,PE,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN,RN,RN,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CE,CE,CE,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PI_Sul,PI,Sul,11.374308203524373,0.0,12.444539714174025,12.444539714174025,12.444539714174025,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0007826087017751035,0.0007826087017751035,0.0007826087017751035,0.0007826087017751035,0.0,0.0008324255739542395,0.0007853071452398486,0.000762434121592086
PI_Outros,PI,Outros,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_Sul,MA,Sul,33.33384773953819,70.63308833572214,28.998799894400655,28.998799894400655,28.998799894400655,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0022935337110458888,0.0022935337110458888,0.0022935337110458888,0.0022935337110458888,0.004846372914139098,0.0019397537555034268,0.0018299563731164403,0.0017766566729285826
MA_Outros,MA,Outros,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_Centro,TO,Centro,106.56262219447342,138.4241120870357,0.7243151517333101,0.7243151517333101,0.7243151517333101,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.007332035840872224,0.007332035840872224,0.007332035840872224,0.007332035840872224,0.009497742252098082,4.845004072096139e-05,4.570758558581263e-05,4.437629668525498e-05
TO_Leste,TO,Leste,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_Norte,TO,Norte,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_Sul,TO,Sul,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA_Nordeste,PA,Nordeste,0.02754502944325169,0.08072352952653958,0.22713969080923277,0.22713969080923277,0.22713969080923277,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,1.8952343603860403e-06,1.8952343603860403e-06,1.8952343603860403e-06,1.8952343603860403e-06,5.5387119018732544e-06,1.519356214310684e-05,1.4333549191610227e-05,1.3916067176320608e-05
