Ano,Mes,Estado_Production,Biodiesel_Production (m3)
2014,8,MG,8206.132
2014,8,MS,11254.203
2014,8,MT,62666.016
2014,8,PA,0
2014,8,PI,0
2014,8,PR,27811.248
2014,8,RJ,1337.11
2014,8,RN,0
2014,8,RO,627.34
2014,8,RS,92244.546
2014,8,SC,1083.919
2014,8,SP,16975.551
2014,8,TO,5769.274
2014,9,BA,14994.878
2014,9,CE,4741
2014,9,GO,55031.138
2014,9,MA,0
2014,9,MG,7243.92
2014,9,MS,19166.078
2014,9,MT,54321.155
2014,9,PA,0
2014,9,PI,0
2014,9,PR,27428.139
2014,9,RJ,2415.659
2014,9,RN,0
2014,9,RO,839.69
2014,9,RS,94273.69
2014,9,SC,9305.359
2014,9,SP,18131.504
2014,9,TO,4772.606
2014,10,BA,17712.993
2014,10,CE,8883.7
2014,10,GO,58902.817
2014,10,MA,0
2014,10,MG,9057.29
2014,10,MS,21230.267
2014,10,MT,43579.47
2014,10,PA,0
2014,10,PI,0
2014,10,PR,28254.647
2014,10,RJ,2279.073
2014,10,RN,0
2014,10,RO,740.623
2014,10,RS,93363.577
2014,10,SC,9198.696
2014,10,SP,20528.578
2014,10,TO,7870.945
2014,11,BA,21369.053
2014,11,CE,6190
2014,11,GO,59242.196
2014,11,MA,0
2014,11,MG,8491.21
2014,11,MS,18928.932
2014,11,MT,40520.85
2014,11,PA,0
2014,11,PI,0
2014,11,PR,27867.558
2014,11,RJ,814.95
2014,11,RN,0
2014,11,RO,1116.265
2014,11,RS,97169.954
2014,11,SC,5645.709
2014,11,SP,18668.522
2014,11,TO,10601.367
2014,12,BA,22939.167
2014,12,CE,7729
2014,12,GO,64485.033
2014,12,MA,0
2014,12,MG,8853.182
2014,12,MS,19802.4
2014,12,MT,50588.415
2014,12,PA,0
2014,12,PI,0
2014,12,PR,27860.967
2014,12,RJ,2355.362
2014,12,RN,0
2014,12,RO,1551.367
2014,12,RS,105435.623
2014,12,SC,7717.08
2014,12,SP,19077.654
2014,12,TO,10566.99
2015,1,BA,15964.438
2015,1,CE,7094.7
2015,1,GO,63811.67
2015,1,MA,0
2015,1,MG,6622.849
2015,1,MS,17083.104
2015,1,MT,53035.377
2015,1,PA,0
2015,1,PI,0
2015,1,PR,24834.113
2015,1,RJ,1715.96
2015,1,RN,0
2015,1,RO,1280.612
2015,1,RS,93896.86
2015,1,SC,8665.143
2015,1,SP,18808.047
2015,1,TO,6733.622
2015,2,BA,21674.726
2015,2,CE,6997.883
2015,2,GO,57594.141
2015,2,MA,0
2015,2,MG,6281.539
2015,2,MS,15583.111
2015,2,MT,62411.37
2015,2,PA,0
2015,2,PI,0
2015,2,PR,24963.019
2015,2,RJ,1519.23
2015,2,RN,0
2015,2,RO,970.375
2015,2,RS,75356.171
2015,2,SC,3756.053
2015,2,SP,18963.008
2015,2,TO,7523.76
2015,3,BA,16841.339
2015,3,CE,6360
2015,3,GO,60803.377
2015,3,MA,0
2015,3,MG,5821.23
2015,3,MS,19943.373
2015,3,MT,68867.797
2015,3,PA,0
2015,3,PI,0
2015,3,PR,30318.533
2015,3,RJ,1658.559
2015,3,RN,0
2015,3,RO,673.104
2015,3,RS,80009.774
2015,3,SC,6210.166
2015,3,SP,21215.983
2015,3,TO,3968.79
2015,4,BA,21448.582
2015,4,CE,6041.512
2015,4,GO,53570.536
2015,4,MA,0
2015,4,MG,9653.409
2015,4,MS,18535.423
2015,4,MT,62102.847
2015,4,PA,0
2015,4,PI,0
2015,4,PR,31463.812
2015,4,RJ,1602.57
2015,4,RN,0
2015,4,RO,554.457
2015,4,RS,93020.215
2015,4,SC,6894.661
2015,4,SP,19638.206
2015,4,TO,0
2015,5,BA,11998.713
2015,5,CE,5621.78
2015,5,GO,58174.75
2015,5,MA,0
2015,5,MG,8795.786
2015,5,MS,19311.226
2015,5,MT,70267.527
2015,5,PA,0
2015,5,PI,0
2015,5,PR,31297.935
2015,5,RJ,1876.874
2015,5,RN,0
2015,5,RO,298.765
2015,5,RS,100132.539
2015,5,SC,5038.079
2015,5,SP,19384.742
2015,5,TO,6651.838
2015,6,BA,5375.584
2015,6,CE,8004.39
2015,6,GO,56466.206
2015,6,MA,0
2015,6,MG,8048.72
2015,6,MS,16918.601
2015,6,MT,72835.22
2015,6,PA,0
2015,6,PI,0
2015,6,PR,31443.426
2015,6,RJ,2130.99
2015,6,RN,0
2015,6,RO,241.816
2015,6,RS,98050.717
2015,6,SC,3467.533
2015,6,SP,17962.616
2015,6,TO,1239.451
2015,7,BA,21321.063
2015,7,CE,6015.504
2015,7,GO,64664.896
2015,7,MA,0
2015,7,MG,5760.155
2015,7,MS,17219.948
2015,7,MT,79062.359
2015,7,PA,0
2015,7,PI,0
2015,7,PR,31636.296
2015,7,RJ,2648.2
2015,7,RN,519.94
2015,7,RO,13.029
2015,7,RS,105868.084
2015,7,SC,0
2015,7,SP,4848.956
2015,7,TO,1515.414
2015,8,BA,22480.334
2015,8,CE,8603.922
2015,8,GO,64592.689
2015,8,MA,0
2015,8,MG,8000
2015,8,MS,20486.613
2015,8,MT,75280.51
2015,8,PA,0
2015,8,PI,0
2015,8,PR,32419.988
2015,8,RJ,1889.674
2015,8,RN,937.825
2015,8,RO,33.645
2015,8,RS,98474.185
2015,8,SC,0
2015,8,SP,7728.325
2015,8,TO,3110.086
2015,9,BA,22347.409
2015,9,CE,7200
2015,9,GO,54018.676
2015,9,MA,0
2015,9,MG,3992.039
2015,9,MS,9092.807
2015,9,MT,76091.095
2015,9,PA,0
2015,9,PI,0
2015,9,PR,31248.464
2015,9,RJ,0
2015,9,RN,291.7
2015,9,RO,40.675
2015,9,RS,103299.028
2015,9,SC,0
2015,9,SP,12972.913
2015,9,TO,9793.477
2015,10,BA,25132.864
2015,10,CE,7582.36
2015,10,GO,53487.416
2015,10,MA,0
2015,10,MG,7955.406
2015,10,MS,16240.092
2015,10,MT,87006.068
2015,10,PA,0
2015,10,PI,0
2015,10,PR,30263.285
2015,10,RJ,227.516
2015,10,RN,49.321
2015,10,RO,33.516
2015,10,RS,105047.957
2015,10,SC,0
2015,10,SP,15980.13
2015,10,TO,10159.786
2015,11,BA,18165.514
2015,11,CE,8955.78
2015,11,GO,51454.135
2015,11,MA,0
2015,11,MG,10709.45
2015,11,MS,16425.895
2015,11,MT,74247.97
2015,11,PA,0
2015,11,PI,0
2015,11,PR,31508.081
2015,11,RJ,1751.404
2015,11,RN,0
2015,11,RO,0
2015,11,RS,88708.213
2015,11,SC,0
2015,11,SP,16555.459
2015,11,TO,6180.245
2015,12,BA,22733.479
2015,12,CE,8955.875
2015,12,GO,56613.5
2015,12,MA,0
2015,12,MG,10617.804
2015,12,MS,20643.441
2015,12,MT,64463.294
2015,12,PA,0
2015,12,PI,0
2015,12,PR,32291.76
2015,12,RJ,1683.275
2015,12,RN,0
2015,12,RO,0
2015,12,RS,72443.518
2015,12,SC,456.884
2015,12,SP,10414.67
2015,12,TO,5208.288
2016,1,BA,21227
2016,1,CE,6979
2016,1,GO,47103
2016,1,MG,9503
2016,1,MS,16597
2016,1,MT,51784
2016,1,PR,31295
2016,1,RJ,1534
2016,1,RS,62619
2016,1,SC,8618
2016,1,SP,9788
2016,1,TO,4975
2016,2,BA,22774
2016,2,CE,7137
2016,2,GO,44707
2016,2,MG,10214
2016,2,MS,16116
2016,2,MT,67800
2016,2,PR,31726
2016,2,RJ,1505
2016,2,RS,69727
2016,2,SC,9016
2016,2,SP,11425
2016,2,TO,5259
2016,3,BA,15053
2016,3,CE,4436
2016,3,GO,62142
2016,3,MG,6381
2016,3,MS,19835
2016,3,MT,72171
2016,3,PR,30498
2016,3,RJ,2038
2016,3,RS,92715
2016,3,SC,967
2016,3,SP,13491
2016,3,TO,12851
2016,4,BA,15522
2016,4,CE,5433
2016,4,GO,60004
2016,4,MG,7749
2016,4,MS,18023
2016,4,MT,60281
2016,4,PR,27751
2016,4,RJ,1795
2016,4,RS,96460
2016,4,SC,3385
2016,4,SP,12078
2016,4,TO,13585
2016,5,BA,17821
2016,5,CE,7235
2016,5,GO,47575
2016,5,MG,8335
2016,5,MS,18422
2016,5,MT,74701
2016,5,PR,26656
2016,5,RJ,1756
2016,5,RS,93875
2016,5,SC,2396
2016,5,SP,11769
2016,5,TO,0
2016,6,BA,20500
2016,6,CE,7917
2016,6,GO,51698
2016,6,MG,9628
2016,6,MS,18927
2016,6,MT,73383
2016,6,PR,29047
2016,6,RJ,1881
2016,6,RS,95513
2016,6,SC,2910
2016,6,SP,12692
2016,6,TO,0
2016,7,BA,16531
2016,7,CE,3924
2016,7,GO,47985
2016,7,MG,2865
2016,7,MS,14999
2016,7,MT,77462
2016,7,PR,32683
2016,7,RJ,1671
2016,7,RS,91699
2016,7,SC,10169
2016,7,SP,12136
2016,7,TO,0
2016,8,BA,17698
2016,8,CE,5168
2016,8,GO,54841
2016,8,MG,1994
2016,8,MS,14824
2016,8,MT,83233
2016,8,PR,33104
2016,8,RJ,1733
2016,8,RS,96028
2016,8,SC,9665
2016,8,SP,12939
2016,8,TO,0
2016,9,BA,23561
2016,9,CE,6856
2016,9,GO,62974
2016,9,MG,10069
2016,9,MS,10825
2016,9,MT,62140
2016,9,PR,35327
2016,9,RJ,2013
2016,9,RS,106316
2016,9,SC,10049
2016,9,SP,2542
2016,9,TO,463
2016,10,BA,24009
2016,10,CE,6785
2016,10,GO,63605
2016,10,MG,9204
2016,10,MS,10476
2016,10,MT,67176
2016,10,PR,29040
2016,10,RJ,1456
2016,10,RS,106095
2016,10,SC,10311
2016,10,SP,4197
2016,10,TO,471
2016,11,BA,23171
2016,11,CE,0
2016,11,GO,58792
2016,11,MG,9762
2016,11,MS,9999
2016,11,MT,59677
2016,11,PR,41316
2016,11,RJ,2067
2016,11,RS,81514
2016,11,SC,10060
2016,11,SP,17179
2016,11,TO,0
2016,12,BA,23921
2016,12,CE,0
2016,12,GO,56709
2016,12,MG,9794
2016,12,MS,9529
2016,12,MT,60466
2016,12,PR,38492
2016,12,RJ,1945
2016,12,RS,78455
2016,12,SC,9542
2016,12,SP,16529
2016,12,TO,0
2017,1,BA,20834.848
2017,1,GO,41530.988
2017,1,MG,7980.795
2017,1,MS,13973.284
2017,1,MT,57577.388
2017,1,PR,39195.043
2017,1,RJ,1962.208
2017,1,RO,0
2017,1,RS,55346.167
2017,1,SC,9816.892
2017,1,SP,14109.35
2017,1,TO,0
2017,2,BA,17887.313
2017,2,GO,41821.149
2017,2,MG,7621.039
2017,2,MS,14981.522
2017,2,MT,61370.827
2017,2,PR,40231.434
2017,2,RJ,1693.085
2017,2,RO,0
2017,2,RS,54190.99
2017,2,SC,9325.471
2017,2,SP,13767.662
2017,2,TO,0
2017,3,BA,22022.344
2017,3,GO,57068.279
2017,3,MG,9148.034
2017,3,MS,18368.55
2017,3,MT,84607.124
2017,3,PR,42092.762
2017,3,RJ,1910.296
2017,3,RO,338.709
2017,3,RS,103026.297
2017,3,SC,9027.167
2017,3,SP,8336.275
2017,3,TO,0
2017,4,BA,21340.755
2017,4,GO,57117.837
2017,4,MG,10277.18
2017,4,MS,17071.156
2017,4,MT,75661.253
2017,4,PR,40764.414
2017,4,RJ,1694.183
2017,4,RO,0
2017,4,RS,94487.145
2017,4,SC,6876.037
2017,4,SP,6108.334
2017,4,TO,0
2017,5,BA,21487.045
2017,5,GO,67104.321
2017,5,MG,9624.532
2017,5,MS,25178.944
2017,5,MT,75787.642
2017,5,PR,41874.029
2017,5,RJ,1459.84
2017,5,RO,0
2017,5,RS,103012.895
2017,5,SC,11593.083
2017,5,SP,13714.926
2017,5,TO,180.896
2017,6,BA,21000.138
2017,6,GO,66527.031
2017,6,MG,11074.595
2017,6,MS,24552.808
2017,6,MT,75325.454
2017,6,PR,41371.85
2017,6,RJ,456.108
2017,6,RO,0
2017,6,RS,96592.876
2017,6,SC,10610.059
2017,6,SP,14645.586
2017,6,TO,370.35
2017,7,BA,25189.698
2017,7,GO,66207.328
2017,7,MG,9128.463
2017,7,MS,27077.28
2017,7,MT,77076.203
2017,7,PR,42585.804
2017,7,RJ,8885.394
2017,7,RO,386.441
2017,7,RS,95900.42
2017,7,SC,10983.483
2017,7,SP,11798.534
2017,7,TO,0
2017,8,BA,28968.104
2017,8,GO,71622.109
2017,8,MG,11711.434
2017,8,MS,28409.482
2017,8,MT,81021.657
2017,8,PR,43179.863
2017,8,RJ,8129.168
2017,8,RO,44.757
2017,8,RS,103116.412
2017,8,SC,12231.627
2017,8,SP,13087.946
2017,8,TO,0
2017,9,BA,27808.293
2017,9,GO,62562.955
2017,9,MG,10178.395
