%Confiança,Ano,Estado,Microrregião,Mês,Produto,Produção,Produção Max,Produção Mín,Tipo,Tipo Ajustado,UF
95,2019,minas gerais,MG_Noroeste,2,Milho_1,4.6804177468458885,153.1425045409679,0.0,Prevista,Prevista,MG
95,2019,minas gerais,MG_Noroeste,3,Milho_1,313.60314705882166,9856.782204193169,9.788803998609293,Prevista,Prevista,MG
95,2019,minas gerais,MG_Noroeste,4,Milho_1,570.554449805222,17927.93600941969,17.969043599584104,Prevista,Prevista,MG
95,2019,minas gerais,MG_Noroeste,5,Milho_1,143.59073455054477,4516.4849747752505,4.376329904908856,Prevista,Prevista,MG
95,2019,minas gerais,MG_Noroeste,6,Milho_1,0.04025753389872888,7.38941296566598,0.0,Prevista,Prevista,MG
95,2019,minas gerais,MG_Noroeste,7,Milho_1,0.013728453787027285,6.55610220364953,0.0,Prevista,Prevista,MG
95,2019,minas gerais,MG_Noroeste,8,Milho_1,0.018981298989682,6.7211004780016115,0.0,Prevista,Prevista,MG
95,2019,minas gerais,MG_Noroeste,9,Milho_1,0.022330939475809792,6.826316770998707,0.0,Prevista,Prevista,MG
95,2019,minas gerais,MG_Noroeste,10,Milho_1,0.019863331048957825,6.748806180737745,0.0,Prevista,Prevista,MG
95,2019,minas gerais,MG_Noroeste,11,Milho_1,0.015630940998595192,6.615861647298648,0.0,Prevista,Prevista,MG
95,2019,minas gerais,MG_Noroeste,12,Milho_1,0.014549543448684778,6.581893631349211,0.0,Prevista,Prevista,MG
70,2019,minas gerais,MG_Outros,2,Milho_1,2.99584186080167,19.212037501361355,0.3759271942065106,Prevista,Prevista,MG
70,2019,minas gerais,MG_Outros,3,Milho_1,200.73110701947238,1243.1121078872964,32.32235487521855,Prevista,Prevista,MG
70,2019,minas gerais,MG_Outros,4,Milho_1,365.20050069142485,2261.110097926697,58.89429481959186,Prevista,Prevista,MG
70,2019,minas gerais,MG_Outros,5,Milho_1,91.90955950025518,569.5514278467277,14.740970516850084,Prevista,Prevista,MG
70,2019,minas gerais,MG_Outros,6,Milho_1,0.02576804289483124,0.8285005441541258,0.0,Prevista,Prevista,MG
70,2019,minas gerais,MG_Outros,7,Milho_1,0.008787308903563938,0.7233967756865232,0.0,Prevista,Prevista,MG
70,2019,minas gerais,MG_Outros,8,Milho_1,0.012149550138767591,0.7442076678716796,0.0,Prevista,Prevista,MG
70,2019,minas gerais,MG_Outros,9,Milho_1,0.014293588070796247,0.7574783819944957,0.0,Prevista,Prevista,MG
70,2019,minas gerais,MG_Outros,10,Milho_1,0.012714121232347506,0.7477021310399758,0.0,Prevista,Prevista,MG
70,2019,minas gerais,MG_Outros,11,Milho_1,0.010005052946154126,0.7309341111144875,0.0,Prevista,Prevista,MG
