Year,Month,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag6_sum_prod,lag9_sum_prod,lag12_sum_prod,CBOT_lag1,CBOT_lag2,CBOT_lag3,Year,Month,US_EXPORT,Inflation Rate,Interest_Rate,Real_vs_USD,Yaun_vs_USD,CBOT,Soya_Price_Metric_Ton,Soya_Price_Metric_Ton_lag_1,Soya_Price_Metric_Ton_lag_2
2014,3,6475.210999999999,776.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2392.346,6974.419,5247.39,7251.426,7251.426,16618.191,13.51,12.9,13.28,2014,3,10.09,6.15,10.75,2.33,6.17,14.22,500.0,591.0,566.0
2014,4,5171.117,6475.210999999999,776.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2392.346,6974.419,12422.543,12422.543,14814.889,14.22,13.51,12.9,2014,4,4.48,6.28,11.0,2.23,6.22,14.89,516.0,500.0,591.0
2014,5,2358.137,5171.117,6475.210999999999,776.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2392.346,14780.68,14780.68,14780.68,14.89,14.22,13.51,2014,5,2.82,6.37,11.0,2.22,6.24,14.83,521.25,516.0,500.0
2014,6,0.0,2358.137,5171.117,6475.210999999999,776.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14780.68,14780.68,14780.68,14.83,14.89,14.22,2014,6,1.69,6.52,11.0,2.24,6.23,14.24,516.0,521.25,516.0
2014,7,0.0,0.0,2358.137,5171.117,6475.210999999999,776.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14780.68,14780.68,14780.68,14.24,14.83,14.89,2014,7,1.52,6.5,11.0,2.22,6.2,12.29,480.0,516.0,521.25
2014,8,0.0,0.0,0.0,2358.137,5171.117,6475.210999999999,776.215,0.0,0.0,0.0,0.0,0.0,0.0,14004.465,14780.68,14780.68,12.29,14.24,14.83,2014,8,1.25,6.51,11.0,2.27,6.15,11.7,460.0,480.0,516.0
2014,9,0.0,0.0,0.0,0.0,2358.137,5171.117,6475.210999999999,776.215,0.0,0.0,0.0,0.0,0.0,7529.254,14780.68,14780.68,11.7,12.29,14.24,2014,9,4.41,6.75,11.0,2.34,6.14,9.74,432.0,460.0,480.0
2014,10,0.0,0.0,0.0,0.0,0.0,2358.137,5171.117,6475.210999999999,776.215,0.0,0.0,0.0,0.0,2358.137,14780.68,14780.68,9.74,11.7,12.29,2014,10,27.86,6.59,11.0,2.45,6.13,9.68,424.0,432.0,460.0
2014,11,0.0,0.0,0.0,0.0,0.0,0.0,2358.137,5171.117,6475.210999999999,776.215,0.0,0.0,0.0,-0.0,14004.465,14780.68,9.68,9.74,11.7,2014,11,30.68,6.56,11.25,2.55,6.12,10.33,449.0,424.0,432.0
2014,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2358.137,5171.117,6475.210999999999,776.215,0.0,0.0,-0.0,7529.254,14780.68,10.33,9.68,9.74,2014,12,23.5,6.41,11.75,2.64,6.19,10.35,446.0,449.0,424.0
