Produto,Mês,Ano,Estado,UF,Microrregião,Produção Mín (Kt),Produção Med (Kt),Produção Max (Kt),Tipo,Tipo Ajustado,% Confiança
Soja,2,2015,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,3,2015,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,4,2015,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,5,2015,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,6,2015,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,7,2015,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,8,2015,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,9,2015,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,10,2015,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,11,2015,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,12,2015,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,1,2016,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,2,2016,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,3,2016,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,4,2016,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,5,2016,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,6,2016,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,7,2016,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,8,2016,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,9,2016,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,10,2016,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,11,2016,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,12,2016,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,1,2017,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,2,2017,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,3,2017,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,4,2017,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,5,2017,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,6,2017,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,7,2017,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,8,2017,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
Soja,9,2017,ACRE,AC,AC,0.000,0.000,0.000,Real,Real / Calculada,0
