Ano,Mes,Estado,UF.1,Produção Med (Kt)
2012,8,MINAS GERAIS,MG,0.0
2012,8,MATO GROSSO DO SUL,MS,0.0
2012,8,MATO GROSSO,MT,0.0
2012,8,PARÁ,PA,0.0
2012,8,PARAÍBA,PB,0.0
2012,8,PERNAMBUCO,PE,0.0
2012,8,PIAUÍ,PI,0.0
2012,8,PARANÁ,PR,0.0
2012,8,RIO DE JANEIRO,RJ,0.0
2012,8,RIO GRANDE DO NORTE,RN,0.0
2012,8,RONDÔNIA,RO,0.0
2012,8,RORAIMA,RR,0.0
2012,8,RIO GRANDE DO SUL,RS,0.0
2012,8,SANTA CATARINA,SC,0.0
2012,8,SERGIPE,SE,0.0
2012,8,SÃO PAULO,SP,0.0
2012,8,TOCANTINS,TO,0.0
2012,9,ACRE,AC,0.0
2012,9,ALAGOAS,AL,0.0
2012,9,AMAZONAS,AM,0.0
2012,9,AMAPÁ,AP,0.0
2012,9,BAHIA,BA,0.0
2012,9,CEARÁ,CE,0.0
2012,9,DISTRITO FEDERAL,DF,0.0
2012,9,ESPÍRITO SANTO,ES,0.0
2012,9,GOIÁS,GO,0.0
2012,9,MARANHÃO,MA,0.0
2012,9,MINAS GERAIS,MG,0.0
2012,9,MATO GROSSO DO SUL,MS,0.0
2012,9,MATO GROSSO,MT,0.0
2012,9,PARÁ,PA,0.0
2012,9,PARAÍBA,PB,0.0
2012,9,PERNAMBUCO,PE,0.0
2012,9,PIAUÍ,PI,0.0
2012,9,PARANÁ,PR,0.0
2012,9,RIO DE JANEIRO,RJ,0.0
2012,9,RIO GRANDE DO NORTE,RN,0.0
2012,9,RONDÔNIA,RO,0.0
2012,9,RORAIMA,RR,0.0
2012,9,RIO GRANDE DO SUL,RS,0.0
2012,9,SANTA CATARINA,SC,0.0
2012,9,SERGIPE,SE,0.0
2012,9,SÃO PAULO,SP,0.0
2012,9,TOCANTINS,TO,0.0
2012,10,ACRE,AC,0.0
2012,10,ALAGOAS,AL,0.0
2012,10,AMAZONAS,AM,0.0
2012,10,AMAPÁ,AP,0.0
2012,10,BAHIA,BA,0.0
2012,10,CEARÁ,CE,0.0
2012,10,DISTRITO FEDERAL,DF,0.0
2012,10,ESPÍRITO SANTO,ES,0.0
2012,10,GOIÁS,GO,0.0
2012,10,MARANHÃO,MA,0.0
2012,10,MINAS GERAIS,MG,0.0
2012,10,MATO GROSSO DO SUL,MS,0.0
2012,10,MATO GROSSO,MT,0.0
2012,10,PARÁ,PA,0.0
2012,10,PARAÍBA,PB,0.0
2012,10,PERNAMBUCO,PE,0.0
2012,10,PIAUÍ,PI,0.0
2012,10,PARANÁ,PR,0.0
2012,10,RIO DE JANEIRO,RJ,0.0
2012,10,RIO GRANDE DO NORTE,RN,0.0
2012,10,RONDÔNIA,RO,0.0
2012,10,RORAIMA,RR,0.0
2012,10,RIO GRANDE DO SUL,RS,0.0
2012,10,SANTA CATARINA,SC,0.0
2012,10,SERGIPE,SE,0.0
2012,10,SÃO PAULO,SP,0.0
2012,10,TOCANTINS,TO,0.0
2012,11,ACRE,AC,0.0
2012,11,ALAGOAS,AL,0.0
2012,11,AMAZONAS,AM,0.0
2012,11,AMAPÁ,AP,0.0
2012,11,BAHIA,BA,0.0
2012,11,CEARÁ,CE,0.0
2012,11,DISTRITO FEDERAL,DF,0.0
2012,11,ESPÍRITO SANTO,ES,0.0
2012,11,GOIÁS,GO,0.0
2012,11,MARANHÃO,MA,0.0
2012,11,MINAS GERAIS,MG,0.0
2012,11,MATO GROSSO DO SUL,MS,0.0
2012,11,MATO GROSSO,MT,0.0
2012,11,PARÁ,PA,0.0
2012,11,PARAÍBA,PB,0.0
2012,11,PERNAMBUCO,PE,0.0
2012,11,PIAUÍ,PI,0.0
2012,11,PARANÁ,PR,0.0
2012,11,RIO DE JANEIRO,RJ,0.0
2012,11,RIO GRANDE DO NORTE,RN,0.0
2012,11,RONDÔNIA,RO,0.0
2012,11,RORAIMA,RR,0.0
2012,11,RIO GRANDE DO SUL,RS,0.0
2012,11,SANTA CATARINA,SC,0.0
2012,11,SERGIPE,SE,0.0
2012,11,SÃO PAULO,SP,0.0
2012,11,TOCANTINS,TO,0.0
2012,12,ACRE,AC,0.0
2012,12,ALAGOAS,AL,0.0
2012,12,AMAZONAS,AM,0.0
2012,12,AMAPÁ,AP,0.0
2012,12,BAHIA,BA,0.0
2012,12,CEARÁ,CE,0.0
2012,12,DISTRITO FEDERAL,DF,0.0
2012,12,ESPÍRITO SANTO,ES,0.0
2012,12,GOIÁS,GO,0.0
2012,12,MARANHÃO,MA,0.0
2012,12,MINAS GERAIS,MG,0.0
2012,12,MATO GROSSO DO SUL,MS,0.0
2012,12,MATO GROSSO,MT,0.0
2012,12,PARÁ,PA,0.0
2012,12,PARAÍBA,PB,0.0
2012,12,PERNAMBUCO,PE,0.0
2012,12,PIAUÍ,PI,0.0
2012,12,PARANÁ,PR,0.0
2012,12,RIO DE JANEIRO,RJ,0.0
2012,12,RIO GRANDE DO NORTE,RN,0.0
2012,12,RONDÔNIA,RO,0.0
2012,12,RORAIMA,RR,0.0
2012,12,RIO GRANDE DO SUL,RS,0.0
2012,12,SANTA CATARINA,SC,0.0
2012,12,SERGIPE,SE,0.0
2012,12,SÃO PAULO,SP,0.0
2012,12,TOCANTINS,TO,0.0
2013,1,ACRE,AC,0.0
2013,1,ALAGOAS,AL,0.0
2013,1,AMAZONAS,AM,0.0
2013,1,AMAPÁ,AP,0.0
2013,1,BAHIA,BA,0.0
2013,1,CEARÁ,CE,0.0
2013,1,DISTRITO FEDERAL,DF,0.0
2013,1,ESPÍRITO SANTO,ES,0.0
2013,1,GOIÁS,GO,425.29299999999995
2013,1,MARANHÃO,MA,0.0
2013,1,MINAS GERAIS,MG,0.0
2013,1,MATO GROSSO DO SUL,MS,174.269
2013,1,MATO GROSSO,MT,5107.527
2013,1,PARÁ,PA,0.0
2013,1,PARAÍBA,PB,0.0
2013,1,PERNAMBUCO,PE,0.0
2013,1,PIAUÍ,PI,0.0
2013,1,PARANÁ,PR,1298.22
2013,1,RIO DE JANEIRO,RJ,0.0
2013,1,RIO GRANDE DO NORTE,RN,0.0
2013,1,RONDÔNIA,RO,80.898
2013,1,RORAIMA,RR,0.0
2013,1,RIO GRANDE DO SUL,RS,0.0
2013,1,SANTA CATARINA,SC,0.0
2013,1,SERGIPE,SE,0.0
2013,1,SÃO PAULO,SP,0.0
2013,1,TOCANTINS,TO,0.0
2013,2,ACRE,AC,0.0
2013,2,ALAGOAS,AL,0.0
2013,2,AMAZONAS,AM,0.0
2013,2,AMAPÁ,AP,0.0
2013,2,BAHIA,BA,27.250999999999998
2013,2,CEARÁ,CE,0.0
2013,2,DISTRITO FEDERAL,DF,0.0
2013,2,ESPÍRITO SANTO,ES,0.0
2013,2,GOIÁS,GO,2661.3399999999997
2013,2,MARANHÃO,MA,8.429
2013,2,MINAS GERAIS,MG,562.39
2013,2,MATO GROSSO DO SUL,MS,4069.054
2013,2,MATO GROSSO,MT,9803.747
2013,2,PARÁ,PA,0.0
2013,2,PARAÍBA,PB,0.0
2013,2,PERNAMBUCO,PE,0.0
2013,2,PIAUÍ,PI,3.929
2013,2,PARANÁ,PR,5247.39
2013,2,RIO DE JANEIRO,RJ,0.0
2013,2,RIO GRANDE DO NORTE,RN,0.0
2013,2,RONDÔNIA,RO,227.28599999999997
2013,2,RORAIMA,RR,0.0
2013,2,RIO GRANDE DO SUL,RS,423.75
2013,2,SANTA CATARINA,SC,93.81700000000001
2013,2,SERGIPE,SE,0.0
2013,2,SÃO PAULO,SP,489.907
2013,2,TOCANTINS,TO,7.680999999999999
2013,3,ACRE,AC,0.0
2013,3,ALAGOAS,AL,0.0
2013,3,AMAZONAS,AM,0.0
2013,3,AMAPÁ,AP,1.125
2013,3,BAHIA,BA,914.946
2013,3,CEARÁ,CE,0.0
2013,3,DISTRITO FEDERAL,DF,46.681000000000004
2013,3,ESPÍRITO SANTO,ES,0.0
2013,3,GOIÁS,GO,4502.258
2013,3,MARANHÃO,MA,497.347
2013,3,MINAS GERAIS,MG,1560.275
2013,3,MATO GROSSO DO SUL,MS,1500.178
2013,3,MATO GROSSO,MT,8248.204
2013,3,PARÁ,PA,138.06199999999998
2013,3,PARAÍBA,PB,0.0
2013,3,PERNAMBUCO,PE,0.0
2013,3,PIAUÍ,PI,271.129
2013,3,PARANÁ,PR,6974.419
2013,3,RIO DE JANEIRO,RJ,0.0
2013,3,RIO GRANDE DO NORTE,RN,0.0
2013,3,RONDÔNIA,RO,225.745
2013,3,RORAIMA,RR,8.4
2013,3,RIO GRANDE DO SUL,RS,5019.829000000001
2013,3,SANTA CATARINA,SC,743.053
2013,3,SERGIPE,SE,0.0
2013,3,SÃO PAULO,SP,1401.09
2013,3,TOCANTINS,TO,483.969
2013,4,ACRE,AC,0.0
2013,4,ALAGOAS,AL,0.0
2013,4,AMAZONAS,AM,0.0
2013,4,AMAPÁ,AP,1.125
2013,4,BAHIA,BA,1749.793
2013,4,CEARÁ,CE,0.0
2013,4,DISTRITO FEDERAL,DF,46.681000000000004
2013,4,ESPÍRITO SANTO,ES,0.0
2013,4,GOIÁS,GO,974.029
2013,4,MARANHÃO,MA,1011.5529999999999
2013,4,MINAS GERAIS,MG,1252.144
2013,4,MATO GROSSO DO SUL,MS,65.462
2013,4,MATO GROSSO,MT,373.3030000000001
2013,4,PARÁ,PA,138.06199999999998
2013,4,PARAÍBA,PB,0.0
2013,4,PERNAMBUCO,PE,0.0
2013,4,PIAUÍ,PI,550.116
2013,4,PARANÁ,PR,2392.346
2013,4,RIO DE JANEIRO,RJ,0.0
2013,4,RIO GRANDE DO NORTE,RN,0.0
2013,4,RONDÔNIA,RO,5.393
2013,4,RORAIMA,RR,8.4
2013,4,RIO GRANDE DO SUL,RS,6546.920999999999
2013,4,SANTA CATARINA,SC,671.607
2013,4,SERGIPE,SE,0.0
2013,4,SÃO PAULO,SP,160.143
2013,4,TOCANTINS,TO,891.1160000000001
2013,5,ACRE,AC,0.0
2013,5,ALAGOAS,AL,0.0
2013,5,AMAZONAS,AM,0.0
2013,5,AMAPÁ,AP,1.125
2013,5,BAHIA,BA,0.0
2013,5,CEARÁ,CE,0.0
2013,5,DISTRITO FEDERAL,DF,46.681000000000004
2013,5,ESPÍRITO SANTO,ES,0.0
2013,5,GOIÁS,GO,0.0
2013,5,MARANHÃO,MA,168.592
2013,5,MINAS GERAIS,MG,0.0
2013,5,MATO GROSSO DO SUL,MS,0.0
2013,5,MATO GROSSO,MT,0.0
2013,5,PARÁ,PA,138.06199999999998
2013,5,PARAÍBA,PB,0.0
2013,5,PERNAMBUCO,PE,0.0
2013,5,PIAUÍ,PI,91.68599999999999
2013,5,PARANÁ,PR,0.0
2013,5,RIO DE JANEIRO,RJ,0.0
2013,5,RIO GRANDE DO NORTE,RN,0.0
2013,5,RONDÔNIA,RO,0.0
2013,5,RORAIMA,RR,8.4
2013,5,RIO GRANDE DO SUL,RS,544.38
2013,5,SANTA CATARINA,SC,70.023
2013,5,SERGIPE,SE,0.0
2013,5,SÃO PAULO,SP,0.0
2013,5,TOCANTINS,TO,153.64100000000002
2013,6,ACRE,AC,0.0
2013,6,ALAGOAS,AL,0.0
2013,6,AMAZONAS,AM,0.0
2013,6,AMAPÁ,AP,1.125
2013,6,BAHIA,BA,0.0
2013,6,CEARÁ,CE,0.0
2013,6,DISTRITO FEDERAL,DF,46.681000000000004
2013,6,ESPÍRITO SANTO,ES,0.0
2013,6,GOIÁS,GO,0.0
2013,6,MARANHÃO,MA,0.0
2013,6,MINAS GERAIS,MG,0.0
2013,6,MATO GROSSO DO SUL,MS,0.0
2013,6,MATO GROSSO,MT,0.0
2013,6,PARÁ,PA,138.06199999999998
2013,6,PARAÍBA,PB,0.0
2013,6,PERNAMBUCO,PE,0.0
2013,6,PIAUÍ,PI,0.0
2013,6,PARANÁ,PR,0.0
2013,6,RIO DE JANEIRO,RJ,0.0
2013,6,RIO GRANDE DO NORTE,RN,0.0
2013,6,RONDÔNIA,RO,0.0
2013,6,RORAIMA,RR,8.4
2013,6,RIO GRANDE DO SUL,RS,0.0
2013,6,SANTA CATARINA,SC,0.0
2013,6,SERGIPE,SE,0.0
2013,6,SÃO PAULO,SP,0.0
2013,6,TOCANTINS,TO,0.0
2013,7,ACRE,AC,0.0
2013,7,ALAGOAS,AL,0.0
2013,7,AMAZONAS,AM,0.0
2013,7,AMAPÁ,AP,0.0
2013,7,BAHIA,BA,0.0
2013,7,CEARÁ,CE,0.0
2013,7,DISTRITO FEDERAL,DF,0.0
2013,7,ESPÍRITO SANTO,ES,0.0
2013,7,GOIÁS,GO,0.0
2013,7,MARANHÃO,MA,0.0
2013,7,MINAS GERAIS,MG,0.0
2013,7,MATO GROSSO DO SUL,MS,0.0
2013,7,MATO GROSSO,MT,0.0
2013,7,PARÁ,PA,0.0
2013,7,PARAÍBA,PB,0.0
2013,7,PERNAMBUCO,PE,0.0
2013,7,PIAUÍ,PI,0.0
2013,7,PARANÁ,PR,0.0
2013,7,RIO DE JANEIRO,RJ,0.0
2013,7,RIO GRANDE DO NORTE,RN,0.0
2013,7,RONDÔNIA,RO,0.0
2013,7,RORAIMA,RR,0.0
2013,7,RIO GRANDE DO SUL,RS,0.0
2013,7,SANTA CATARINA,SC,0.0
2013,7,SERGIPE,SE,0.0
2013,7,SÃO PAULO,SP,0.0
2013,7,TOCANTINS,TO,0.0
2013,8,ACRE,AC,0.0
2013,8,ALAGOAS,AL,0.0
2013,8,AMAZONAS,AM,0.0
2013,8,AMAPÁ,AP,0.0
2013,8,BAHIA,BA,0.0
2013,8,CEARÁ,CE,0.0
2013,8,DISTRITO FEDERAL,DF,0.0
2013,8,ESPÍRITO SANTO,ES,0.0
2013,8,GOIÁS,GO,0.0
2013,8,MARANHÃO,MA,0.0
2013,8,MINAS GERAIS,MG,0.0
2013,8,MATO GROSSO DO SUL,MS,0.0
2013,8,MATO GROSSO,MT,0.0
2013,8,PARÁ,PA,0.0
2013,8,PARAÍBA,PB,0.0
2013,8,PERNAMBUCO,PE,0.0
2013,8,PIAUÍ,PI,0.0
2013,8,PARANÁ,PR,0.0
2013,8,RIO DE JANEIRO,RJ,0.0
2013,8,RIO GRANDE DO NORTE,RN,0.0
2013,8,RONDÔNIA,RO,0.0
2013,8,RORAIMA,RR,0.0
2013,8,RIO GRANDE DO SUL,RS,0.0
2013,8,SANTA CATARINA,SC,0.0
2013,8,SERGIPE,SE,0.0
2013,8,SÃO PAULO,SP,0.0
2013,8,TOCANTINS,TO,0.0
2013,9,ACRE,AC,0.0
2013,9,ALAGOAS,AL,0.0
2013,9,AMAZONAS,AM,0.0
2013,9,AMAPÁ,AP,0.0
2013,9,BAHIA,BA,0.0
2013,9,CEARÁ,CE,0.0
2013,9,DISTRITO FEDERAL,DF,0.0
2013,9,ESPÍRITO SANTO,ES,0.0
2013,9,GOIÁS,GO,0.0
2013,9,MARANHÃO,MA,0.0
2013,9,MINAS GERAIS,MG,0.0
2013,9,MATO GROSSO DO SUL,MS,0.0
2013,9,MATO GROSSO,MT,0.0
2013,9,PARÁ,PA,0.0
2013,9,PARAÍBA,PB,0.0
2013,9,PERNAMBUCO,PE,0.0
