Ano,Mes,CBOT_Milho
1976,11,2.43645
1976,12,2.5209523809523806
1977,1,2.594166666666667
1977,2,2.5646578947368424
1977,3,2.5904347826086953
1977,4,2.5309
1977,5,2.4408750000000006
1977,6,2.349659090909091
1977,7,2.138125
1977,8,1.900782608695652
1977,9,2.011309523809524
1977,10,2.0851190476190475
1977,11,2.2234285714285718
1977,12,2.2511904761904766
1978,1,2.242261904761905
1978,2,2.266763157894737
1978,3,2.4390909090909094
1978,4,2.563
1978,5,2.560681818181818
1978,6,2.5687272727272723
1978,7,2.3682500000000006
1978,8,2.2002608695652177
1978,9,2.21775
1978,10,2.30625
1978,11,2.2992249999999994
1978,12,2.3335
1979,1,2.318068181818182
1979,2,2.3761315789473687
1979,3,2.47
1979,4,2.5467750000000007
1979,5,2.6724999999999994
