Ano,Mes,CBOT_Soya
1995,10,6.566295454545455
1995,11,6.834285714285716
1995,12,7.1934249999999995
1996,1,7.407431818181819
1996,2,7.310625
1996,3,7.297142857142856
1996,4,7.911214285714287
1996,5,8.088863636363635
1996,6,7.7421750000000005
1996,7,7.819386363636365
1996,8,7.883750000000001
1996,9,7.939500000000001
1996,10,7.070826086956524
1996,11,6.936125
1996,12,6.994809523809525
1997,1,7.308522727272726
1997,2,7.636473684210526
1997,3,8.355875000000001
1997,4,8.525363636363638
1997,5,8.671309523809525
1997,6,8.243428571428574
1997,7,7.306681818181816
1997,8,6.577119047619047
1997,9,6.368809523809523
1997,10,6.829565217391305
1997,11,7.219342105263159
1997,12,6.931977272727273
1998,1,6.7143749999999995
1998,2,6.737473684210528
1998,3,6.557272727272727
1998,4,6.396214285714285
1998,5,6.388499999999999
1998,6,6.283977272727273
1998,7,6.179477272727272
1998,8,5.358761904761904
1998,9,5.25047619047619
1998,10,5.473136363636363
1998,11,5.761000000000001
1998,12,5.579227272727274
1999,1,5.32157894736842
1999,2,4.896605263157896
1999,3,4.813478260869565
1999,4,4.8409047619047625
1999,5,4.715374999999999
1999,6,4.628545454545455
1999,7,4.305333333333333
1999,8,4.69006818181818
1999,9,4.9471428571428575
1999,10,4.860190476190475
1999,11,4.718214285714285
1999,12,4.6327380952380945
2000,1,4.94775
2000,2,5.06395
2000,3,5.238043478260869
2000,4,5.377421052631578
2000,5,5.518068181818181
2000,6,5.090022727272728
2000,7,4.6105
2000,8,4.586152173913043
2000,9,4.955875
2000,10,4.734068181818182
2000,11,4.86702380952381
2000,12,5.0708
2001,1,4.805119047619048
2001,2,4.557026315789473
2001,3,4.490681818181818
2001,4,4.319600000000001
2001,5,4.426590909090908
2001,6,4.62547619047619
2001,7,5.060666666666665
2001,8,4.967043478260869
2001,9,4.709264705882353
2001,10,4.378521739130435
2001,11,4.44
2001,12,4.3590526315789475
2002,1,4.355714285714286
2002,2,4.363894736842106
2002,3,4.628125
2002,4,4.6663181818181805
2002,5,4.820454545454546
2002,6,5.037775
2002,7,5.5841590909090915
2002,8,5.606931818181818
2002,9,5.645625
2002,10,5.446434782608696
2002,11,5.699374999999999
2002,12,5.6629000000000005
2003,1,5.651190476190476
2003,2,5.703815789473683
2003,3,5.716309523809524
2003,4,6.037285714285715
2003,5,6.342261904761905
2003,6,6.24752380952381
2003,7,5.767
2003,8,5.563023809523808
2003,9,6.235357142857143
2003,10,7.324369565217391
2003,11,7.63828947368421
2003,12,7.7129318181818185
2004,1,8.211875
2004,2,8.610473684210525
2004,3,9.822065217391303
2004,4,9.87688095238095
2004,5,9.350624999999999
2004,6,8.637595238095239
2004,7,7.264976190476192
2004,8,5.924818181818182
2004,9,5.629047619047618
2004,10,5.269595238095239
2004,11,5.328571428571427
2004,12,5.402761904761904
2005,1,5.2642500000000005
2005,2,5.3841052631578945
2005,3,6.375113636363636
2005,4,6.232571428571429
2005,5,6.381785714285715
2005,6,6.936931818181818
2005,7,6.908200000000001
2005,8,6.294826086956523
2005,9,5.814285714285715
2005,10,5.758404761904761
2005,11,5.788214285714287
2005,12,5.904166666666666
2006,1,5.872125000000001
2006,2,5.848236842105263
2006,3,5.8425
2006,4,5.700447368421054
2006,5,5.972386363636366
2006,6,5.898295454545454
2006,7,5.93855
2006,8,5.581304347826087
2006,9,5.478624999999999
2006,10,5.942386363636363
2006,11,6.701190476190476
2006,12,6.636325000000001
2007,1,7.0148809523809526
2007,2,7.582763157894736
2007,3,7.6025
2007,4,7.374300000000001
2007,5,7.767272727272727
2007,6,8.24807142857143
2007,7,8.56247619047619
2007,8,8.448695652173912
2007,9,9.52657894736842
2007,10,9.768739130434783
2007,11,10.654404761904763
2007,12,11.530725
2008,1,12.619166666666668
2008,2,13.846375
2008,3,13.516710526315789
2008,4,13.151272727272728
2008,5,13.39225
2008,6,15.032690476190478
2008,7,15.042590909090906
2008,8,12.789119047619048
2008,9,11.751190476190478
2008,10,9.227760869565218
2008,11,9.007368421052632
2008,12,8.683204545454547
2009,1,9.935250000000002
2009,2,9.28728947368421
2009,3,9.031818181818181
2009,4,10.18104761904762
2009,5,11.41025
2009,6,12.030045454545451
2009,7,10.442045454545458
2009,8,10.54959523809524
2009,9,9.306190476190475
2009,10,9.65834090909091
2009,11,10.1155
2009,12,10.330727272727271
2010,1,9.81407894736842
2010,2,9.38934210526316
2010,3,9.52717391304348
2010,4,9.742904761904763
2010,5,9.53925
2010,6,9.470250000000002
2010,7,9.943214285714284
2010,8,10.227704545454545
2010,9,10.64845238095238
2010,10,11.636261904761906
2010,11,12.56345238095238
2010,12,13.174795454545455
2011,1,13.951125
2011,2,13.945473684210526
2011,3,13.604782608695654
2011,4,13.651175
2011,5,13.573214285714284
2011,6,13.595522727272732
2011,7,13.61455
2011,8,13.632652173913042
2011,9,13.401904761904767
2011,10,12.14745238095238
2011,11,11.713690476190477
2011,12,11.440809523809524
2012,1,12.049875
2012,2,12.568800000000003
2012,3,13.52375
2012,4,14.408574999999999
2012,5,14.189090909090908
2012,6,14.193738095238094
2012,7,16.316809523809525
2012,8,16.800608695652173
2012,9,16.756184210526314
2012,10,15.393065217391305
2012,11,14.484880952380953
2012,12,14.547575000000004
2013,1,14.189880952380953
2013,2,14.577763157894738
2013,3,14.454125000000001
2013,4,14.036045454545452
2013,5,14.379431818181816
2013,6,15.125399999999996
2013,7,14.253477272727274
2013,8,12.957204545454546
2013,9,13.438125
2013,10,12.858804347826087
2013,11,12.931874999999996
2013,12,13.281547619047618
2014,1,12.851547619047617
2014,2,13.516052631578948
2014,3,14.22202380952381
2014,4,14.881119047619046
2014,5,14.8102380952381
2014,6,14.311833333333333
2014,7,12.141409090909091
2014,8,10.970119047619047
2014,9,9.714761904761904
2014,10,9.65013043478261
2014,11,10.320131578947368
2014,12,10.312454545454544
2015,1,10.024000000000001
2015,2,9.92721052631579
2015,3,9.807045454545456
2015,4,9.712785714285715
2015,5,9.535375
2015,6,9.65009090909091
2015,7,10.074772727272729
2015,8,9.262571428571428
2015,9,8.764761904761906
2015,10,8.912250000000002
2015,11,8.664874999999999
2015,12,8.794113636363635
2016,1,8.73013157894737
2016,2,8.720024999999998
2016,3,8.931363636363635
2016,4,9.637690476190476
2016,5,10.614166666666668
2016,6,11.461545454545456
2016,7,10.5788
2016,8,9.99532608695652
2016,9,9.606071428571429
2016,10,9.763476190476192
2016,11,10.070833333333335
2016,12,10.22202380952381
2017,1,10.367
2017,2,10.37707894736842
2017,3,10.009565217391305
2017,4,9.478868421052631
2017,5,9.573863636363635
2017,6,9.250409090909088
2017,7,9.971124999999997
2017,8,9.425391304347826
2017,9,9.660875
2017,10,9.760954545454545
2017,11,9.883452380952383
2017,12,9.730950000000002
2018,1,9.753809523809524
2018,2,10.114999999999998
2018,3,10.437261904761904
2018,4,10.387047619047618
2018,5,10.241931818181818
2018,6,9.257214285714285
2018,7,8.528380952380953
2018,8,8.649673913043477
2018,9,8.393947368421053
2018,10,8.60745652173913
2018,11,8.82857142857143
2018,12,9.007074999999999
2019,1,9.135595238095238
2019,2,9.11742105263158
2019,3,9.041388888888887
2019,4,9.068675191357599
2019,5,9.23440661645907
2019,6,9.37356795523001
2019,7,9.260274717298401
2019,8,8.9668160233083
2019,9,8.899638963715839
2019,10,8.766502779034651
2019,11,8.88606852840745
2019,12,8.88458904938307
