Ano,Mes,CBOT_Soyameal
1980,7,203.0054545454545
1980,8,214.6809523809524
1980,9,240.96476190476187
1980,10,261.19565217391306
1980,11,275.24444444444447
1980,12,236.8942857142857
1981,1,229.97142857142865
1981,2,216.74315789473678
1981,3,214.70454545454547
1981,4,225.12761904761905
1981,5,222.17
1981,6,206.4
1981,7,207.36363636363632
1981,8,196.93714285714287
1981,9,188.27714285714282
1981,10,190.1909090909091
1981,11,187.48599999999996
1981,12,187.07454545454542
1982,1,190.56500000000003
1982,2,187.8568421052632
1982,3,183.79130434782613
1982,4,190.01142857142855
1982,5,190.32000000000002
1982,6,182.59
1982,7,178.75809523809525
1982,8,166.1645454545455
1982,9,157.3342857142857
1982,10,157.82857142857142
1982,11,172.377
1982,12,173.5314285714286
1983,1,179.22380952380954
1983,2,177.4905263157895
1983,3,180.62608695652173
1983,4,188.881
1983,5,184.03333333333336
1983,6,174.8163636363636
1983,7,190.065
1983,8,236.55391304347825
1983,9,237.24285714285716
1983,10,234.40476190476187
1983,11,232.17619047619047
1983,12,219.68380952380954
1984,1,201.9904761904762
1984,2,191.08600000000004
1984,3,204.90454545454543
1984,4,195.96499999999997
1984,5,197.63181818181818
1984,6,184.34761904761908
1984,7,165.7714285714286
1984,8,157.01304347826087
1984,9,149.68210526315787
1984,10,154.0304347826087
1984,11,152.69047619047623
1984,12,147.004
1985,1,144.32272727272724
1985,2,132.96526315789473
1985,3,135.6238095238095
1985,4,128.97238095238095
1985,5,124.35454545454544
1985,6,122.048
1985,7,125.96
1985,8,124.31454545454545
1985,9,130.484
1985,10,141.3304347826087
1985,11,143.53499999999997
1985,12,145.3904761904762
1986,1,154.4818181818182
1986,2,153.27578947368426
1986,3,159.97500000000002
1986,4,153.4990909090909
1986,5,151.20476190476188
1986,6,148.62857142857143
1986,7,147.38636363636365
1986,8,148.49428571428572
1986,9,150.76476190476194
1986,10,148.60434782608695
1986,11,149.90631578947367
1986,12,143.94727272727272
1987,1,143.5333333333333
1987,2,143.7663157894737
1987,3,139.56363636363633
1987,4,150.44571428571427
1987,5,166.11499999999995
1987,6,176.1790909090909
1987,7,165.60818181818183
1987,8,157.46571428571428
1987,9,168.36666666666667
1987,10,174.85
1987,11,196.95100000000005
1987,12,199.58999999999997
1988,1,183.845
1988,2,182.768
1988,3,188.07826086956527
1988,4,198.44400000000002
1988,5,220.4904761904762
1988,6,290.66999999999996
1988,7,262.7779999999999
1988,8,264.3373913043478
1988,9,267.32380952380953
1988,10,256.54761904761904
1988,11,252.047619047619
1988,12,251.60857142857145
1989,1,254.71428571428572
1989,2,238.70842105263154
1989,3,238.5
1989,4,224.47299999999996
1989,5,216.5636363636364
1989,6,211.51999999999998
1989,7,208.11599999999999
1989,8,188.1113043478261
1989,9,187.61899999999997
1989,10,183.33636363636364
1989,11,184.88285714285712
1989,12,181.455
1990,1,174.5681818181818
1990,2,165.75684210526316
1990,3,169.94090909090912
1990,4,173.82700000000003
1990,5,183.65909090909088
1990,6,174.7885714285714
1990,7,176.7742857142857
1990,8,175.82608695652175
1990,9,181.19684210526316
1990,10,185.0304347826087
1990,11,174.48190476190476
1990,12,173.44299999999998
1991,1,166.52727272727273
1991,2,166.8463157894737
1991,3,168.79999999999998
1991,4,172.9363636363637
1991,5,173.3318181818182
1991,6,172.548
1991,7,167.9718181818182
1991,8,179.58545454545452
1991,9,191.33399999999997
1991,10,182.79565217391306
1991,11,180.06799999999998
1991,12,172.09904761904764
1992,1,174.9090909090909
1992,2,174.99473684210525
1992,3,178.11363636363635
1992,4,174.75473684210527
1992,5,182.08
1992,6,182.7309090909091
1992,7,175.32363636363638
1992,8,174.44952380952378
1992,9,188.72476190476192
1992,10,182.38181818181818
1992,11,180.667
1992,12,184.78636363636363
1993,1,183.45999999999998
1993,2,177.99052631578948
1993,3,182.00000000000003
1993,4,185.4152380952381
1993,5,191.17000000000002
1993,6,190.96999999999997
1993,7,224.9333333333334
1993,8,215.02181818181816
1993,9,197.817
1993,10,191.2095238095238
1993,11,206.36190476190478
1993,12,202.0457142857143
1994,1,197.64761904761903
1994,2,195.3684210526316
1994,3,194.39565217391302
1994,4,188.30000000000004
1994,5,191.8904761904762
1994,6,196.87636363636364
1994,7,180.863
1994,8,173.5286956521739
1994,9,167.43333333333334
1994,10,162.70476190476188
1994,11,159.3609523809524
1994,12,158.5342857142857
1995,1,158.34285714285713
1995,2,154.91263157894738
1995,3,163.40434782608696
1995,4,167.55894736842106
1995,5,171.12727272727275
1995,6,172.43909090909094
1995,7,181.97799999999998
1995,8,177.82695652173913
1995,9,191.51099999999997
1995,10,201.0545454545455
1995,11,209.3333333333333
1995,12,227.85599999999994
1996,1,236.60000000000008
1996,2,230.6
1996,3,230.76190476190476
1996,4,249.3628571428572
1996,5,248.6909090909091
1996,6,239.53099999999995
1996,7,245.60818181818183
1996,8,251.2109090909091
1996,9,259.57399999999996
1996,10,233.1782608695652
1996,11,230.887
1996,12,226.05142857142857
1997,1,231.82727272727269
1997,2,247.5789473684211
1997,3,271.06499999999994
1997,4,280.16090909090906
1997,5,287.4571428571429
1997,6,270.6780952380952
1997,7,241.20818181818186
1997,8,232.14761904761906
1997,9,224.1514285714286
1997,10,219.32608695652178
1997,11,234.81052631578945
1997,12,214.37818181818182
1998,1,195.86999999999995
1998,2,188.0147368421053
1998,3,172.9090909090909
1998,4,160.42666666666668
1998,5,158.005
1998,6,161.7709090909091
1998,7,161.82363636363638
1998,8,136.9066666666667
1998,9,129.23047619047617
1998,10,139.01818181818183
1998,11,145.68200000000004
1998,12,145.24454545454546
1999,1,135.1684210526316
1999,2,130.03473684210527
1999,3,132.49999999999997
1999,4,133.13333333333335
1999,5,132.17000000000002
1999,6,136.22
1999,7,129.49142857142857
1999,8,140.33363636363634
1999,9,147.28380952380954
1999,10,151.42857142857142
1999,11,149.02761904761905
1999,12,146.38380952380956
2000,1,157.11500000000004
2000,2,163.92000000000002
2000,3,168.71304347826086
2000,4,170.42842105263153
2000,5,181.85
2000,6,173.25727272727272
