Year,Month,Estado,UF,Tonnes,Argentina_Production,Exchange_Rate,Interest_Rate,Soya_Prod,Biodiesel_Prod,Biodiesel_Consump,CBOT_Soya,CBOT_Soyameal
2012.0,3.0,ESPÍRITO SANTO,ES,0.0,0.0,1.7953,8.9862,0.0,0.0,4008.411743,13.52375,369.37619047619046
2012.0,3.0,GOIÁS,GO,85460.2732641168,0.0,1.7953,8.9862,3214.628,44913.538,9289.983456,13.52375,369.37619047619046
2012.0,3.0,MARANHÃO,MA,6.880601133137666e-06,0.0,1.7953,8.9862,742.75,0.0,7971.087504000001,13.52375,369.37619047619046
2012.0,3.0,MINAS GERAIS,MG,21555.59003443376,0.0,1.7953,8.9862,1835.214,6208.09,25126.96258,13.52375,369.37619047619046
2012.0,3.0,MATO GROSSO DO SUL,MS,27615.268092439288,0.0,1.7953,8.9862,1577.5500000000002,5271.355,767.8869003,13.52375,369.37619047619046
2012.0,3.0,MATO GROSSO,MT,349615.8820027104,0.0,1.7953,8.9862,5921.59,36174.39,1670.605117,13.52375,369.37619047619046
2012.0,3.0,PARÁ,PA,5.685703081158121e-09,0.0,1.7953,8.9862,79.17899999999999,0.0,7685.1511,13.52375,369.37619047619046
2012.0,3.0,PARAÍBA,PB,0.0,0.0,1.7953,8.9862,0.0,0.0,1578.004058,13.52375,369.37619047619046
2012.0,3.0,PERNAMBUCO,PE,0.0,0.0,1.7953,8.9862,0.0,0.0,7285.096864,13.52375,369.37619047619046
2012.0,3.0,PIAUÍ,PI,2.3478261053253106e-06,0.0,1.7953,8.9862,631.555,0.0,105.52245740000001,13.52375,369.37619047619046
2012.0,3.0,PARANÁ,PR,324805.96166728524,0.0,1.7953,8.9862,5558.84,9550.31,4698.049355,13.52375,369.37619047619046
2012.0,3.0,RIO DE JANEIRO,RJ,1.1327717300775898e-06,0.0,1.7953,8.9862,0.0,2812.204,7789.878505,13.52375,369.37619047619046
2012.0,3.0,RIO GRANDE DO NORTE,RN,0.0,0.0,1.7953,8.9862,0.0,0.0,3225.56413,13.52375,369.37619047619046
2012.0,3.0,RONDÔNIA,RO,3.9015861089833263e-07,0.0,1.7953,8.9862,184.885,888.6,49.62193416,13.52375,369.37619047619046
2012.0,3.0,RORAIMA,RR,0.0,0.0,1.7953,8.9862,2.59,0.0,0.0,13.52375,369.37619047619046
2012.0,3.0,RIO GRANDE DO SUL,RS,103233.70054478144,0.0,1.7953,8.9862,3228.1659999999997,66771.719,40563.55823,13.52375,369.37619047619046
2012.0,3.0,SANTA CATARINA,SC,37127.861015993534,0.0,1.7953,8.9862,429.18300000000005,0.0,4845.082415,13.52375,369.37619047619046
2012.0,3.0,SERGIPE,SE,0.0,0.0,1.7953,8.9862,0.0,0.0,177.4974305,13.52375,369.37619047619046
2012.0,3.0,SÃO PAULO,SP,49500.00014527483,0.0,1.7953,8.9862,1314.781,21400.889,51857.106060000006,13.52375,369.37619047619046
2012.0,3.0,TOCANTINS,TO,2.1996107522616672e-05,0.0,1.7953,8.9862,387.22,8283.363000000001,431.4856649,13.52375,369.37619047619046
2012.0,4.0,ACRE,AC,0.0,0.0,1.8522476190476191,8.4999,0.0,0.0,0.0,14.408574999999999,399.8750000000001
2012.0,4.0,ALAGOAS,AL,0.0,0.0,1.8522476190476191,8.4999,0.0,0.0,664.5315343,14.408574999999999,399.8750000000001
2012.0,4.0,AMAZONAS,AM,0.0,0.0,1.8522476190476191,8.4999,0.0,0.0,0.0,14.408574999999999,399.8750000000001
2012.0,4.0,AMAPÁ,AP,0.0,0.0,1.8522476190476191,8.4999,0.0,0.0,0.0,14.408574999999999,399.8750000000001
2012.0,4.0,BAHIA,BA,95245.58,0.0,1.8522476190476191,8.4999,1623.1299999999999,14227.391000000001,16027.790159999999,14.408574999999999,399.8750000000001
2012.0,4.0,CEARÁ,CE,0.0,0.0,1.8522476190476191,8.4999,0.0,3149.03,2768.44332,14.408574999999999,399.8750000000001
2012.0,4.0,DISTRITO FEDERAL,DF,0.0,0.0,1.8522476190476191,8.4999,44.0,0.0,12485.79228,14.408574999999999,399.8750000000001
2012.0,4.0,ESPÍRITO SANTO,ES,0.0,0.0,1.8522476190476191,8.4999,0.0,0.0,2578.311855,14.408574999999999,399.8750000000001
2012.0,4.0,GOIÁS,GO,168079.946,0.0,1.8522476190476191,8.4999,469.301,41180.032999999996,9706.644436,14.408574999999999,399.8750000000001
2012.0,4.0,MARANHÃO,MA,0.0,0.0,1.8522476190476191,8.4999,907.8059999999999,0.0,7362.664856999999,14.408574999999999,399.8750000000001
2012.0,4.0,MINAS GERAIS,MG,21835.972999999998,0.0,1.8522476190476191,8.4999,828.986,5197.61,21696.61856,14.408574999999999,399.8750000000001
2012.0,4.0,MATO GROSSO DO SUL,MS,17764.002999999997,0.0,1.8522476190476191,8.4999,52.156,3183.363,313.0399997,14.408574999999999,399.8750000000001
2012.0,4.0,MATO GROSSO,MT,421757.681,0.0,1.8522476190476191,8.4999,414.9390000000001,32761.049,3227.681525,14.408574999999999,399.8750000000001
2012.0,4.0,PARÁ,PA,0.0,0.0,1.8522476190476191,8.4999,79.17899999999999,0.0,6581.7218729999995,14.408574999999999,399.8750000000001
2012.0,4.0,PARAÍBA,PB,0.0,0.0,1.8522476190476191,8.4999,0.0,0.0,1218.815505,14.408574999999999,399.8750000000001
2012.0,4.0,PERNAMBUCO,PE,0.0,0.0,1.8522476190476191,8.4999,0.0,0.0,7003.250298000001,14.408574999999999,399.8750000000001
2012.0,4.0,PIAUÍ,PI,0.0,0.0,1.8522476190476191,8.4999,568.399,0.0,141.37535490000002,14.408574999999999,399.8750000000001
2012.0,4.0,PARANÁ,PR,231998.041,0.0,1.8522476190476191,8.4999,1230.16,8297.158000000001,3566.2913810000005,14.408574999999999,399.8750000000001
2012.0,4.0,RIO DE JANEIRO,RJ,0.0,0.0,1.8522476190476191,8.4999,0.0,0.0,4862.80561,14.408574999999999,399.8750000000001
2012.0,4.0,RIO GRANDE DO NORTE,RN,0.0,0.0,1.8522476190476191,8.4999,0.0,0.0,2584.183623,14.408574999999999,399.8750000000001
2012.0,4.0,RONDÔNIA,RO,0.0,0.0,1.8522476190476191,8.4999,23.111,228.097,0.0,14.408574999999999,399.8750000000001
2012.0,4.0,RORAIMA,RR,0.0,0.0,1.8522476190476191,8.4999,2.59,0.0,0.0,14.408574999999999,399.8750000000001
2012.0,4.0,RIO GRANDE DO SUL,RS,155424.271,0.0,1.8522476190476191,8.4999,2312.754,63000.651,35626.130110000006,14.408574999999999,399.8750000000001
2012.0,4.0,SANTA CATARINA,SC,6862.853,0.0,1.8522476190476191,8.4999,609.547,0.0,4034.0006409999996,14.408574999999999,399.8750000000001
2012.0,4.0,SERGIPE,SE,0.0,0.0,1.8522476190476191,8.4999,0.0,0.0,163.1539491,14.408574999999999,399.8750000000001
2012.0,4.0,SÃO PAULO,SP,24949.928,0.0,1.8522476190476191,8.4999,87.993,2926.325,39530.90013,14.408574999999999,399.8750000000001
2012.0,4.0,TOCANTINS,TO,0.0,0.0,1.8522476190476191,8.4999,926.5620000000001,8221.537,0.0,14.408574999999999,399.8750000000001
2012.0,5.0,ACRE,AC,0.0,0.0,1.9810227272727277,7.9716,0.0,0.0,0.0,14.189090909090908,416.89545454545447
2012.0,5.0,ALAGOAS,AL,0.0,0.0,1.9810227272727277,7.9716,0.0,0.0,984.3256864,14.189090909090908,416.89545454545447
2012.0,5.0,AMAZONAS,AM,0.0,0.0,1.9810227272727277,7.9716,0.0,0.0,0.0,14.189090909090908,416.89545454545447
2012.0,5.0,AMAPÁ,AP,0.0,0.0,1.9810227272727277,7.9716,0.0,0.0,0.0,14.189090909090908,416.89545454545447
2012.0,5.0,BAHIA,BA,66495.12,0.0,1.9810227272727277,7.9716,0.0,19192.197,21487.7505,14.189090909090908,416.89545454545447
2012.0,5.0,CEARÁ,CE,0.0,0.0,1.9810227272727277,7.9716,0.0,3622.09,2126.565728,14.189090909090908,416.89545454545447
2012.0,5.0,DISTRITO FEDERAL,DF,0.0,0.0,1.9810227272727277,7.9716,44.0,0.0,11292.114029999999,14.189090909090908,416.89545454545447
2012.0,5.0,ESPÍRITO SANTO,ES,0.0,0.0,1.9810227272727277,7.9716,0.0,0.0,2104.124706,14.189090909090908,416.89545454545447
2012.0,5.0,GOIÁS,GO,190661.419,0.0,1.9810227272727277,7.9716,0.0,49702.504,10587.28652,14.189090909090908,416.89545454545447
2012.0,5.0,MARANHÃO,MA,0.0,0.0,1.9810227272727277,7.9716,0.0,0.0,10036.670470000001,14.189090909090908,416.89545454545447
2012.0,5.0,MINAS GERAIS,MG,40728.445,0.0,1.9810227272727277,7.9716,0.0,5014.48,24977.36793,14.189090909090908,416.89545454545447
2012.0,5.0,MATO GROSSO DO SUL,MS,75856.085,0.0,1.9810227272727277,7.9716,0.0,4829.604,555.7184875,14.189090909090908,416.89545454545447
2012.0,5.0,MATO GROSSO,MT,597484.247,0.0,1.9810227272727277,7.9716,64.31500000000001,39992.992999999995,5889.116919,14.189090909090908,416.89545454545447
2012.0,5.0,PARÁ,PA,0.0,0.0,1.9810227272727277,7.9716,79.17899999999999,0.0,6656.518734,14.189090909090908,416.89545454545447
2012.0,5.0,PARAÍBA,PB,0.0,0.0,1.9810227272727277,7.9716,0.0,0.0,1391.294876,14.189090909090908,416.89545454545447
2012.0,5.0,PERNAMBUCO,PE,0.0,0.0,1.9810227272727277,7.9716,0.0,0.0,7379.112508,14.189090909090908,416.89545454545447
2012.0,5.0,PIAUÍ,PI,0.0,0.0,1.9810227272727277,7.9716,63.156000000000006,0.0,578.7742977999999,14.189090909090908,416.89545454545447
2012.0,5.0,PARANÁ,PR,350651.703,0.0,1.9810227272727277,7.9716,0.0,6890.439,2708.209487,14.189090909090908,416.89545454545447
2012.0,5.0,RIO DE JANEIRO,RJ,0.0,0.0,1.9810227272727277,7.9716,0.0,0.0,3082.9285879999998,14.189090909090908,416.89545454545447
2012.0,5.0,RIO GRANDE DO NORTE,RN,0.0,0.0,1.9810227272727277,7.9716,0.0,0.0,1981.520416,14.189090909090908,416.89545454545447
